"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	
628	1461	1177	1137	674	457	334	271	573	191	841	387	788	651	364	792	236	477	543	
600	1500	1200	1150	700	500	350	300	550	200	850	400	900	700	350	800	250	500	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
404	901	676	718	423	240	173	183	274	125	445	165	424	321	241	467	164	304	279	
32	55	138	36	20	71	52	21	128	31	81	110	134	162	39	133	12	78	153	
164	544	386	396	257	189	125	96	148	44	324	125	342	217	70	200	74	118	118	
32	55	138	36	20	71	52	21	128	31	81	110	134	162	39	133	12	78	153	
404	901	676	718	423	240	173	183	274	125	445	165	424	321	241	467	164	304	279	
4	16	4	9	4	1	1	0	0	0	1	1	0	1	0	0	0	2	3	
432	940	810	745	439	310	224	204	402	156	525	274	558	482	280	600	176	380	429	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	10	7	5	3	2	0	1	2	0	4	2	0	3	2	1	1	1	0	
83	156	119	113	68	33	8	16	27	16	35	23	55	56	18	64	27	39	35	
35	89	71	62	44	26	16	14	20	12	24	19	37	32	25	49	31	33	53	
298	665	605	547	312	248	197	171	348	126	455	225	460	378	230	481	115	295	335	
5	7	3	6	2	1	2	0	2	1	4	1	2	7	1	5	2	3	3	
1	5	3	6	4	0	1	1	2	1	2	1	2	0	3	0	0	5	1	
5	5	0	3	4	0	0	1	1	0	0	2	1	6	0	0	0	2	2	
1	3	2	3	2	0	0	0	0	0	1	1	1	0	1	0	0	2	0	
