"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	
397	143	477	152	385	711	257	186	621	422	1211	1470	948	1671	1848	
424	146	494	180	380	742	253	222	663	458	1248	1485	956	1689	1892	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
250	110	341	118	283	458	187	171	479	271	559	873	703	861	963	
18	2	23	8	2	48	16	4	25	13	101	17	33	109	64	
156	34	130	54	95	236	50	47	159	174	588	595	220	719	865	
18	2	23	8	2	48	16	4	25	13	101	17	33	109	64	
250	110	341	118	283	458	187	171	479	271	559	873	703	861	963	
3	1	16	1	12	3	0	4	1	1	8	18	7	15	15	
265	111	348	125	273	503	203	171	503	283	652	872	729	955	1012	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	0	0	6	0	1	2	3	9	7	5	4	2	
32	14	44	5	34	81	6	15	36	61	77	56	154	169	200	
12	3	11	6	7	18	2	9	16	15	52	32	54	79	76	
218	93	287	113	217	387	193	144	443	198	500	765	501	677	709	
1	1	0	1	12	1	1	0	3	3	4	6	5	9	7	
1	0	1	0	1	5	0	1	1	1	5	4	6	10	8	
0	0	3	0	1	5	0	1	1	2	2	1	0	4	8	
0	0	1	0	1	0	1	0	1	0	3	1	4	3	2	
