"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	
2294	2154	2172	1059	362	356	362	386	913	1222	1941	509	184	1236	
2000	2000	2000	1000	340	350	400	400	900	1100	1700	500	190	1120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1416	1258	1394	658	246	257	252	223	644	684	1421	356	103	804	
189	142	147	124	52	31	38	75	78	120	171	52	45	136	
395	600	459	218	42	62	110	102	178	296	108	92	42	180	
189	142	147	124	52	31	38	75	78	120	171	52	45	136	
1416	1258	1394	658	246	257	252	223	644	684	1421	356	103	804	
0	0	19	0	4	4	1	6	6	8	4	0	1	20	
1605	1400	1522	782	294	284	289	292	716	796	1588	408	147	920	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	11	9	4	1	1	4	2	3	4	7	0	1	8	
199	238	224	49	38	26	29	33	65	95	161	37	18	119	
88	111	98	35	18	13	24	20	43	44	83	26	6	51	
1263	998	1139	674	230	236	228	232	586	638	1321	332	118	725	
16	25	18	7	2	0	2	1	6	5	3	6	1	5	
13	7	14	12	0	4	2	2	4	6	7	2	3	4	
4	5	8	1	2	3	0	1	1	1	3	3	0	4	
12	5	12	0	3	1	0	1	8	3	3	2	0	4	
