"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	
473	251	858	482	354	981	142	204	445	161	136	430	39	116	759	79	858	316	766	496	579	240	1075	268	339	357	933	207	960	352	244	492	831	334	160	371	355	142	343	513	348	914	114	146	544	
472	241	818	469	356	958	138	204	427	162	134	428	36	112	753	75	855	307	743	479	575	229	1060	254	310	345	914	199	934	344	237	486	828	323	146	364	350	139	343	494	340	899	111	135	524	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
230	138	486	291	174	449	71	98	257	59	102	211	13	53	317	38	523	199	355	198	309	116	405	145	145	125	464	116	368	135	124	241	434	192	84	174	202	73	209	277	132	404	57	101	258	
19	11	25	5	18	54	6	26	0	11	0	16	5	3	34	3	17	0	54	23	46	17	65	11	82	40	26	10	69	41	16	10	14	11	10	2	5	2	7	21	64	23	8	12	23	
223	92	307	173	164	455	61	80	170	92	32	201	18	56	402	34	315	108	334	258	220	96	590	98	83	180	424	73	497	168	97	235	380	120	52	188	143	64	127	196	144	472	46	22	243	
19	11	25	5	18	54	6	26	0	11	0	16	5	3	34	3	17	0	54	23	46	17	65	11	82	40	26	10	69	41	16	10	14	11	10	2	5	2	7	21	64	23	8	12	23	
230	138	486	291	174	449	71	98	257	59	102	211	13	53	317	38	523	199	355	198	309	116	405	145	145	125	464	116	368	135	124	241	434	192	84	174	202	73	209	277	132	404	57	101	258	
0	0	1	2	0	3	0	1	1	0	2	1	0	0	8	0	0	3	0	2	4	1	3	1	4	0	10	1	4	3	2	0	3	3	1	1	6	2	0	1	1	1	0	0	2	
249	149	510	294	192	500	77	123	256	70	100	226	18	56	343	41	540	196	409	219	351	132	467	155	223	165	480	125	433	173	138	251	445	200	93	175	201	73	216	297	195	426	65	113	279	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	5	0	1	1	0	0	0	0	0	1	0	0	1	0	2	2	3	0	3	0	5	0	2	1	2	1	6	0	0	0	0	0	0	1	0	0	0	1	0	6	0	0	2	
34	6	87	23	17	74	3	9	44	3	5	20	0	5	33	1	74	32	47	17	35	6	46	14	12	7	70	22	50	2	8	43	99	15	10	12	17	6	5	16	14	64	1	7	23	
18	14	47	13	10	40	14	7	25	12	6	11	0	4	12	0	35	8	21	13	29	10	23	7	15	8	41	8	34	23	8	14	29	12	2	8	9	5	9	17	13	40	5	2	25	
191	125	355	258	158	378	60	106	187	55	89	193	18	45	294	38	425	150	334	183	284	116	386	133	189	146	359	92	335	146	120	190	308	172	76	154	173	61	200	257	163	303	59	104	227	
0	0	4	0	1	0	0	0	0	0	0	0	0	0	2	1	2	1	2	0	0	0	1	1	3	0	4	0	1	0	1	3	4	0	0	0	2	1	1	1	4	4	0	0	0	
2	2	2	0	2	5	0	0	0	0	0	1	0	1	1	1	0	0	2	6	0	0	4	0	0	3	1	0	3	2	0	0	3	1	5	0	0	0	1	2	0	5	0	0	1	
3	1	5	0	1	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	1	
1	1	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	3	0	2	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	
