"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	
1923	2460	2097	1964	2446	1660	1702	177	1235	2259	1129	1036	947	819	473	308	
1900	2450	2100	1950	2400	1640	1700	170	1250	2250	1100	1050	1050	850	400	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1249	2007	1407	1401	1897	1355	1198	163	1043	1456	878	795	852	727	373	257	
60	69	73	48	79	71	56	0	21	123	43	107	54	27	24	21	
591	374	620	501	424	214	446	7	186	671	179	148	144	96	3	22	
60	69	73	48	79	71	56	0	21	123	43	107	54	27	24	21	
1249	2007	1407	1401	1897	1355	1198	163	1043	1456	878	795	852	727	373	257	
0	0	34	0	0	30	35	0	0	0	0	0	0	0	0	0	
1309	2076	1446	1449	1976	1396	1219	163	1064	1579	921	902	906	754	397	278	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	1	7	4	7	7	0	1	2	1	1	1	0	0	0	
35	43	218	35	145	180	246	11	24	59	98	72	97	91	87	54	
127	68	13	100	98	12	18	1	27	11	15	21	15	8	13	9	
970	1850	1171	1206	1610	1176	916	133	963	1456	770	781	774	639	286	209	
0	0	9	0	0	8	11	0	0	0	0	0	0	0	0	0	
127	76	33	76	89	10	15	16	32	23	27	22	15	13	9	4	
41	32	1	23	25	1	4	2	15	25	9	5	4	3	2	2	
7	4	0	2	5	2	2	0	2	3	1	0	0	0	0	0	
