"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	
1777	1871	1421	1938	1948	1345	1516	2353	
1800	1900	1400	1900	1900	1300	1500	2200	
0	0	0	0	0	0	0	0	
1135	1120	795	1135	1104	817	866	1289	
26	37	33	55	58	21	68	50	
639	743	572	710	738	462	566	861	
26	37	33	55	58	21	68	50	
1135	1120	795	1135	1104	817	866	1289	
10	19	12	16	15	8	8	15	
1151	1138	816	1174	1147	830	926	1324	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

4	8	2	8	4	1	10	9	
166	202	135	153	214	141	158	255	
72	93	62	72	76	73	61	111	
878	803	597	920	825	597	670	915	
9	15	10	9	8	8	9	15	
5	5	5	5	7	5	8	8	
7	8	0	4	7	3	3	6	
10	4	5	3	6	2	7	5	
