"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	
1563	450	131	1597	900	775	266	131	920	107	328	236	254	52	650	178	386	499	626	960	223	623	954	1081	101	388	951	128	1062	80	486	213	110	197	169	108	395	534	1416	717	194	116	150	947	
1600	460	150	1600	920	820	270	120	950	110	320	250	270	55	660	180	386	500	580	950	220	620	950	1150	110	400	1000	130	1150	80	480	215	113	220	170	110	400	550	1450	750	195	116	150	960	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1072	376	118	1165	803	631	178	107	523	85	254	170	217	43	546	159	349	462	566	844	178	516	876	671	80	270	807	118	843	79	388	185	92	152	157	101	346	438	1113	447	150	103	133	846	
184	68	13	118	53	45	30	10	73	17	30	24	27	9	86	16	26	20	13	79	39	63	30	367	20	100	61	9	219	0	78	25	13	35	7	4	41	56	168	208	27	12	15	76	
344	16	19	317	64	144	62	3	354	8	36	56	26	3	28	5	11	18	1	27	3	41	44	112	10	30	132	3	88	1	14	5	8	33	6	5	13	56	169	95	18	1	2	38	
184	68	13	118	53	45	30	10	73	17	30	24	27	9	86	16	26	20	13	79	39	63	30	367	20	100	61	9	219	0	78	25	13	35	7	4	41	56	168	208	27	12	15	76	
1072	376	118	1165	803	631	178	107	523	85	254	170	217	43	545	159	349	462	566	844	178	516	876	671	80	270	807	118	843	79	388	185	92	152	157	101	346	438	1113	447	150	103	133	846	
2	0	0	0	5	7	4	0	9	0	0	2	0	0	10	0	0	3	9	0	1	8	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	10	0	7	1	0	0	3	
1254	444	131	1283	851	669	204	117	587	102	284	192	244	52	621	175	375	479	570	923	216	571	906	1038	100	370	868	127	1061	79	453	210	105	187	164	105	387	484	1281	648	176	115	148	919	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	3	0	1	9	3	0	4	0	0	1	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	4	1	0	1	0	0	0	0	7	0	0	0	0	2	
80	7	5	96	32	99	29	26	147	2	2	21	3	3	20	4	10	22	84	28	11	12	55	174	3	13	11	1	49	1	37	3	2	40	7	2	17	42	131	21	17	3	3	34	
43	7	19	69	15	61	42	12	85	8	44	17	7	1	2	3	7	20	20	7	8	20	16	20	2	4	51	3	29	1	6	13	3	19	6	3	14	33	88	27	11	1	2	25	
1093	424	104	1111	798	489	128	78	329	92	238	152	229	48	599	168	358	437	456	879	197	523	835	831	95	352	806	123	975	77	403	192	100	125	151	100	354	409	1032	598	145	111	143	851	
12	2	0	2	3	6	0	0	4	0	0	1	2	0	0	0	0	0	3	0	0	4	0	5	0	1	0	0	5	0	0	0	0	1	0	0	1	0	10	2	2	0	0	2	
1	0	0	0	1	1	2	0	10	0	0	0	1	0	0	0	0	0	3	0	0	6	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	6	0	1	0	0	2	
12	4	0	0	1	1	0	0	7	0	0	0	0	0	0	0	0	0	2	9	0	2	0	4	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	3	
10	0	0	5	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	
