"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	
1430	1105	666	1358	474	1500	843	446	282	105	534	557	199	139	97	136	110	117	301	381	131	113	134	
1420	1090	650	1350	470	1500	850	450	270	110	530	550	190	140	90	140	110	150	310	390	130	110	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
847	654	463	750	253	800	510	254	146	59	309	328	93	77	55	87	78	67	170	238	66	59	85	
73	80	51	145	147	95	46	46	37	27	68	63	46	13	15	12	13	29	49	30	26	27	11	
500	356	136	455	70	605	294	150	87	24	153	159	51	50	20	41	19	54	91	122	38	24	29	
73	80	51	145	147	95	46	46	37	27	68	63	46	13	15	12	13	29	49	30	26	27	11	
847	654	463	750	253	800	510	254	146	59	309	328	93	77	55	87	78	67	170	238	66	59	85	
11	9	8	11	9	15	11	0	2	0	2	2	1	0	0	0	0	0	1	7	1	0	0	
909	725	506	884	391	880	545	300	181	86	375	389	138	90	70	99	91	96	218	261	91	86	96	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	10	3	1	12	4	6	1	2	0	1	3	1	0	1	0	2	0	0	0	0	0	2	
179	140	76	140	13	132	101	30	15	15	40	52	33	6	19	16	15	13	56	42	23	3	15	
60	50	31	80	36	92	32	34	12	6	29	43	13	6	4	8	13	6	21	16	5	1	10	
646	507	376	635	312	634	398	230	147	65	291	280	88	74	46	74	58	68	137	192	63	81	68	
7	6	4	12	10	4	4	2	2	0	3	4	1	0	0	0	0	4	0	2	0	0	1	
5	4	1	5	2	6	1	0	2	0	5	4	0	3	0	0	2	2	3	5	0	0	0	
4	4	6	5	2	5	1	3	1	0	2	3	1	0	0	1	1	3	0	3	0	0	0	
0	4	9	6	4	3	2	0	0	0	4	0	1	1	0	0	0	0	1	1	0	1	0	
