"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	
1005	1075	1471	1043	1052	1218	1153	1168	594	253	684	688	586	375	1070	
900	900	1300	900	900	1000	1000	1000	500	200	600	600	500	300	920	
0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
495	618	617	490	567	576	502	494	253	77	252	231	199	188	472	
46	23	46	16	25	20	15	13	17	4	17	22	13	21	51	
359	259	632	394	308	404	483	493	230	119	331	347	288	91	397	
46	23	51	16	25	20	15	13	17	4	17	22	13	21	51	
495	618	617	490	567	576	502	494	253	77	252	231	199	188	472	
6	11	4	10	9	10	6	7	7	1	0	4	0	1	4	
535	630	664	496	583	586	511	500	263	80	269	249	212	208	519	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	5	5	3	3	1	3	2	0	3	3	2	0	2	
70	83	75	93	104	98	79	94	25	17	38	35	22	7	84	
48	35	38	29	56	48	43	39	29	2	25	18	17	10	34	
409	499	530	353	410	427	384	353	202	60	195	190	167	189	390	
0	3	6	9	5	6	0	4	1	1	1	1	1	0	1	
3	1	6	2	3	3	0	3	1	0	3	2	3	0	6	
2	1	3	4	1	0	1	3	0	0	1	0	0	1	1	
1	2	1	1	1	1	3	1	3	0	3	0	0	1	1	
