"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	
654	578	269	681	300	540	717	509	256	390	151	1422	827	1153	994	1202	840	
678	583	289	695	299	549	726	541	269	406	160	1464	843	1170	1037	1218	873	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
547	467	236	531	271	471	596	375	210	329	117	913	598	776	749	795	633	
85	103	26	114	24	53	103	112	25	30	31	175	91	163	65	113	108	
46	13	27	50	4	25	27	54	34	47	12	376	154	231	223	310	132	
85	103	26	114	24	53	103	112	25	30	31	175	91	163	65	113	108	
547	467	236	531	271	471	596	375	210	329	117	913	598	776	749	795	633	
0	5	0	9	5	1	4	5	0	2	0	9	8	10	11	19	17	
632	565	262	636	290	523	695	482	235	357	148	1079	681	929	803	889	724	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	2	0	0	1	4	2	3	1	3	1	3	3	5	4	3	4	
54	39	12	43	10	38	71	39	15	37	2	103	86	99	110	118	88	
31	24	12	28	15	16	71	34	12	35	5	71	41	67	53	75	52	
522	490	236	560	262	452	538	400	203	272	140	877	537	740	622	680	563	
5	1	1	3	1	9	5	1	1	3	0	10	3	4	4	5	0	
9	4	1	0	0	1	5	1	2	2	0	8	5	7	5	4	9	
2	5	0	2	1	3	1	1	1	5	0	6	2	3	1	1	6	
4	0	0	0	0	0	2	3	0	0	0	1	4	4	4	3	2	
