"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	
414	559	782	837	984	1610	326	2002	1361	941	423	1129	241	1428	1356	1435	1520	1574	1234	1583	1631	1098	688	1502	2927	2601	719	1215	1054	1415	873	1881	457	296	655	1981	1052	1062	611	818	1085	797	1925	667	713	346	965	997	264	586	423	893	442	526	1313	1230	815	
250	390	490	570	660	1190	300	1300	970	710	300	810	170	1200	980	1010	1090	1120	1060	1160	1180	770	490	1080	2500	2100	510	1050	880	1230	670	1720	390	210	470	1450	820	830	450	600	1020	730	1460	530	590	230	720	700	230	470	380	760	330	420	1020	970	740	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
200	265	343	394	509	847	122	1206	736	532	187	632	117	877	799	794	887	889	807	923	1010	603	370	763	2064	1817	422	730	501	1071	403	1463	211	67	230	1247	654	357	132	366	562	306	1247	255	340	133	374	524	132	282	259	481	127	140	833	571	469	
13	4	47	17	22	37	161	19	26	15	28	28	9	16	31	19	28	39	37	43	15	22	17	34	19	21	9	88	176	53	114	66	80	80	161	157	112	378	77	34	202	281	210	260	200	75	130	99	41	55	45	127	183	139	167	211	213	
37	121	100	159	129	306	17	75	208	163	85	150	44	307	150	197	175	192	216	194	155	145	103	283	417	262	79	232	203	106	153	191	99	63	79	46	54	95	241	200	256	143	3	15	50	22	216	77	57	133	76	152	20	141	20	188	58	
13	4	47	17	22	37	161	19	26	15	28	28	9	16	31	19	28	39	37	43	15	22	17	34	19	21	9	88	176	53	114	66	80	80	161	157	112	378	77	34	202	281	210	260	200	75	130	99	41	55	45	127	183	139	167	211	213	
200	265	343	394	509	847	122	1206	736	532	187	632	117	877	799	794	887	889	807	922	1010	603	370	763	2064	1814	422	730	501	1071	403	1463	211	67	230	1247	654	357	132	366	562	306	1247	255	340	133	374	524	132	282	259	481	127	140	833	571	469	
1	6	1	2	3	9	6	10	6	5	0	11	2	11	5	15	10	5	6	9	10	5	3	4	32	33	3	12	5	15	3	30	2	1	5	8	3	3	1	2	7	1	16	3	1	4	3	3	2	3	0	8	1	3	9	4	6	
212	263	389	409	528	875	277	1215	756	542	215	649	124	882	825	798	905	923	838	956	1015	620	384	793	2051	1802	428	806	672	1109	514	1499	289	146	386	1396	763	732	208	398	757	586	1441	512	539	204	501	620	171	334	304	600	309	276	991	778	676	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	3	1	1	4	3	5	6	5	5	3	2	6	12	5	9	9	8	17	9	5	0	6	20	14	0	2	2	5	5	11	2	0	4	5	5	10	0	1	1	0	17	5	8	6	0	2	0	2	2	4	1	0	3	4	4	
