"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	
1712	1151	663	621	349	328	385	306	1379	559	517	525	526	
1700	1100	650	650	350	350	350	300	1450	550	550	500	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	
905	684	462	393	179	183	230	146	598	214	248	282	287	
186	106	18	53	71	24	40	55	137	58	39	83	71	
609	310	170	204	100	143	80	99	715	278	263	135	192	
186	106	18	53	71	24	40	55	137	58	39	83	71	
905	578	462	393	179	183	230	146	598	214	248	282	287	
13	7	4	1	0	3	5	1	19	6	7	5	3	
1078	677	476	445	250	204	265	200	716	266	280	360	355	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	4	2	0	2	1	0	2	1	5	2	0	
136	104	31	47	10	16	31	15	33	51	35	30	15	
73	61	24	14	31	5	24	18	73	19	27	24	16	
819	490	414	373	208	169	198	162	591	186	204	296	313	
18	5	1	4	1	5	5	2	8	2	5	4	5	
12	5	1	5	0	4	2	2	4	4	2	3	2	
5	4	0	0	0	2	1	0	4	2	2	0	2	
12	3	1	0	0	1	3	1	1	1	0	1	2	
