"УИК №3366"	"УИК №3367"	"УИК №3368"	"УИК №3369"	"УИК №3370"	"УИК №3371"	"УИК №3372"	"УИК №3373"	"УИК №3374"	"УИК №3375"	"УИК №3376"	"УИК №3377"	"УИК №3378"	"УИК №3379"	"УИК №3380"	
1922	2115	1858	2123	826	994	1102	749	647	902	1306	1202	1874	741	784	
1900	1900	1800	2000	800	900	1000	800	600	800	1300	1200	1700	700	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1181	1278	1113	1189	454	568	591	348	273	481	567	625	1023	377	420	
34	35	45	130	50	33	100	97	108	64	109	107	158	76	131	
685	587	642	681	296	299	309	355	219	255	623	468	519	247	249	
34	35	45	130	50	33	100	97	108	64	109	106	158	76	131	
1179	1278	1113	1189	454	568	591	348	273	481	567	624	1023	377	420	
31	21	15	31	6	9	7	17	7	6	11	9	13	7	9	
1182	1292	1143	1288	498	592	684	428	374	539	665	721	1168	446	542	
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	8	6	8	3	1	5	1	0	2	5	3	3	7	7	
208	206	197	205	91	131	125	70	50	57	96	95	274	51	80	
67	61	62	102	36	50	59	18	28	45	51	46	89	26	68	
861	969	843	933	350	394	476	331	283	419	492	568	767	353	363	
19	26	19	15	4	9	12	4	6	6	8	4	13	4	6	
5	12	7	5	4	0	4	3	3	2	6	1	6	2	7	
11	5	6	8	6	1	1	0	0	7	5	1	9	3	6	
5	5	3	12	4	6	2	1	4	1	2	3	7	0	5	
