"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	
222	368	67	114	608	192	121	120	610	977	952	1363	176	365	188	541	103	772	426	
200	350	60	100	600	150	100	100	600	1000	900	1300	150	350	180	500	100	700	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
155	214	41	75	407	113	77	65	374	557	549	798	96	226	130	351	77	419	310	
20	19	2	4	21	5	8	13	36	56	53	58	28	19	16	44	5	86	22	
25	117	17	21	172	32	15	22	190	387	298	444	26	105	34	105	18	195	68	
20	19	2	4	21	5	8	13	36	56	53	58	28	19	16	44	5	86	22	
155	214	41	75	407	113	77	65	374	557	549	798	96	226	130	351	77	419	310	
3	5	0	1	6	2	1	1	6	6	4	11	2	4	2	1	1	7	7	
172	228	43	78	422	116	84	77	404	607	598	845	122	241	144	394	81	498	325	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	1	0	5	0	0	1	1	9	4	5	1	0	1	4	1	4	4	
22	38	3	15	108	13	19	9	89	122	116	182	33	54	29	74	46	110	42	
21	16	4	7	34	2	7	2	26	46	47	51	5	21	10	24	4	39	35	
122	163	34	56	268	99	58	63	284	421	414	592	81	163	100	285	28	339	236	
3	1	0	0	1	0	0	0	1	1	3	3	0	1	1	1	0	1	1	
1	3	1	0	2	2	0	2	3	3	8	7	2	1	2	5	2	5	6	
0	2	0	0	4	0	0	0	0	4	3	2	0	1	1	0	0	0	0	
0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	1	0	0	1	
