"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	
2356	2210	2266	2185	2407	2458	337	2256	2368	2567	2671	2302	2399	2732	2255	2411	2460	2391	2468	2551	2369	2087	2117	1334	2203	2261	2411	2329	2324	
1800	1700	1700	1800	2000	2000	250	1800	2000	2000	2000	1900	1900	2300	1800	1800	2000	2000	2000	2000	2000	1700	1700	1100	1700	1900	2000	1900	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1472	1328	1491	1321	1444	1529	212	1351	1371	1643	1714	1384	1524	1838	1350	1510	1435	1439	1482	1573	1447	1219	1255	799	1306	1367	1439	1408	1357	
51	43	31	40	42	41	3	61	51	28	42	46	33	34	30	38	20	60	60	68	52	45	26	19	30	28	40	28	44	
277	329	178	439	514	430	35	388	578	329	244	470	343	428	420	252	545	501	458	359	501	436	419	282	364	505	521	464	599	
51	43	31	40	42	41	3	61	51	28	42	46	33	34	30	38	20	60	60	68	52	45	26	19	30	28	40	28	44	
1471	1328	1491	1318	1444	1528	212	1351	1371	1643	1714	1382	1524	1834	1350	1510	1435	1437	1482	1572	1445	1219	1253	799	1306	1367	1439	1408	1356	
19	25	13	21	27	23	1	15	22	34	23	21	39	32	23	29	16	14	22	20	17	11	17	13	19	22	15	22	23	
1503	1346	1509	1337	1459	1546	214	1397	1400	1637	1733	1407	1518	1836	1357	1519	1439	1483	1520	1620	1480	1253	1262	805	1317	1373	1464	1414	1377	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

16	11	22	13	8	10	3	11	15	14	10	17	9	7	10	22	8	13	19	14	17	17	9	10	13	12	19	11	18	
192	164	230	154	171	185	33	164	184	219	212	192	205	261	160	210	172	200	198	217	178	161	168	100	181	173	184	191	232	
57	64	78	68	71	89	8	66	70	64	85	66	91	118	83	67	76	70	67	89	79	62	66	37	56	66	62	62	56	
1099	1021	1038	1005	1072	1145	145	1050	1018	1165	1298	1014	1096	1338	1032	1124	1081	1092	1139	1192	1121	931	932	600	958	995	1084	1048	953	
65	28	61	39	61	49	11	43	49	68	54	50	46	51	31	49	46	43	32	41	36	35	42	28	57	62	41	44	51	
15	10	8	9	9	12	2	14	10	10	17	13	13	14	13	9	7	12	5	12	10	8	11	6	3	14	6	8	8	
29	18	25	16	22	19	3	22	17	39	22	22	18	19	16	16	18	15	24	19	13	11	17	9	19	15	25	23	23	
30	30	47	33	45	37	9	27	37	58	35	33	40	28	12	22	31	38	36	36	26	28	17	15	30	36	43	27	36	
