"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	
1997	1663	1792	2210	2365	2684	2485	2317	1793	2999	2089	437	2017	2398	1956	1646	581	2196	2295	2011	2473	2070	1815	3333	2545	2124	2394	2353	1983	2076	1929	2556	647	1407	330	729	333	670	2801	1917	663	
2000	1700	1800	2200	2300	2500	2400	2300	1800	2800	1500	400	2100	2400	2000	1400	600	2100	2200	2050	2300	2100	1800	2600	2500	2100	2200	2400	2000	2050	1900	2300	650	1400	300	750	300	750	2300	1800	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1399	1233	1284	1625	1628	1703	1744	1763	957	1814	1451	204	1236	1558	1387	978	399	1397	1331	1227	1704	1141	1296	2270	1811	1347	1761	1412	1085	1223	1404	1738	363	970	212	496	212	478	2067	1132	165	
78	31	95	175	65	658	82	184	98	23	26	162	168	146	44	230	15	101	74	171	54	29	42	41	396	42	73	58	51	246	1	27	95	41	20	27	24	24	35	23	471	
523	436	421	400	607	139	574	353	745	963	23	34	696	696	569	192	186	602	795	652	542	930	462	289	293	711	366	930	864	581	495	535	192	389	68	227	64	248	198	645	64	
78	31	95	175	65	658	82	184	98	23	26	162	168	146	44	230	15	101	74	171	54	29	42	41	396	42	73	58	51	246	1	27	95	41	20	27	24	24	35	23	471	
1399	1233	1284	1450	1623	1703	1744	1763	957	1814	1451	204	1236	1558	1387	978	399	1397	1331	1227	1650	1141	1296	2270	1811	1347	1761	1412	1085	1223	1404	1738	363	970	212	496	212	478	2067	1132	165	
9	15	12	10	10	14	12	1	0	27	20	9	22	8	19	16	6	16	24	11	52	13	18	40	4	11	30	17	10	1	19	7	4	5	1	3	1	9	37	5	8	
1468	1249	1367	1615	1678	2347	1814	1946	1055	1810	1457	357	1382	1696	1412	1192	408	1482	1381	1387	1652	1157	1320	2271	2203	1378	1804	1453	1126	1468	1386	1758	454	1006	231	520	235	493	2065	1150	628	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	9	5	11	16	6	8	7	4	9	8	11	11	9	16	9	1	14	7	8	6	10	5	13	31	4	18	17	6	13	5	12	5	6	0	1	2	1	14	11	5	
190	141	87	102	168	76	136	80	102	313	213	15	158	202	167	137	51	177	79	157	133	144	151	248	99	129	226	201	137	213	169	233	45	124	20	58	26	47	383	165	47	
72	18	33	48	39	43	97	14	43	99	94	16	69	115	105	74	29	93	22	51	48	85	67	85	40	70	111	108	106	71	131	105	29	32	16	29	11	29	124	63	56	
1109	1023	1173	1347	1390	2192	1502	1819	884	1293	1075	309	1084	1308	1053	917	322	1119	1225	1130	1413	862	1027	1806	1986	1119	1358	1070	834	1115	1016	1342	369	810	188	415	194	404	1438	859	490	
30	8	23	42	8	4	34	8	12	39	29	3	34	24	24	16	2	33	13	20	11	21	25	60	11	16	36	21	19	19	51	22	3	12	0	7	0	2	44	25	18	
11	10	7	13	7	2	10	4	1	9	8	3	4	12	13	9	1	12	12	10	15	12	11	15	18	9	12	10	10	9	3	7	2	7	1	5	1	6	19	11	0	
19	6	11	21	13	10	10	6	2	19	9	0	8	13	12	13	1	15	11	3	4	12	16	24	12	11	20	5	3	13	4	20	0	8	1	2	0	1	21	5	3	
27	34	28	31	37	14	17	8	7	29	21	0	14	13	22	17	1	19	12	8	22	11	18	20	6	20	23	21	11	15	7	17	1	7	5	3	1	3	22	11	9	
