"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №412"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	
1260	987	1723	1552	661	462	415	291	175	423	314	234	540	282	229	326	211	170	226	
1300	1000	1700	1600	700	480	470	350	240	470	500	330	600	320	250	400	220	250	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
685	554	973	833	321	232	124	135	78	212	209	98	297	113	78	159	108	61	90	
63	19	62	43	54	103	214	133	81	138	76	103	97	96	70	67	53	86	56	
552	427	665	724	325	145	132	82	81	120	215	129	206	111	102	174	59	103	74	
63	19	62	43	54	103	214	133	81	138	76	103	97	96	70	67	53	86	56	
685	554	973	833	321	232	124	135	78	212	209	98	297	113	78	159	108	61	90	
6	4	11	4	1	1	1	0	1	0	1	1	2	0	0	0	2	2	0	
742	569	1024	872	374	334	337	268	158	350	284	200	392	209	148	226	159	145	146	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	6	3	5	2	1	3	2	0	0	1	0	2	1	0	0	0	1	2	
65	84	111	89	25	15	24	30	15	50	33	25	28	21	4	25	8	11	9	
63	39	93	79	33	16	33	32	15	30	21	20	32	24	11	15	3	7	7	
574	421	790	667	301	296	267	200	122	259	225	153	325	160	131	180	146	123	122	
12	7	5	4	3	1	3	1	1	3	1	0	3	1	1	2	0	2	2	
4	1	4	14	2	0	1	3	1	3	1	2	2	0	1	2	0	1	2	
5	4	6	4	3	1	2	0	2	2	2	0	0	0	0	0	2	0	2	
15	7	12	10	5	4	4	0	2	3	0	0	0	2	0	2	0	0	0	
