"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	
840	1672	1238	400	229	213	580	733	131	274	461	715	433	56	
850	1700	1200	380	220	200	600	750	130	290	460	700	440	50	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
533	962	685	241	125	122	358	458	101	126	276	432	301	26	
55	129	85	22	20	18	36	104	14	48	35	61	57	3	
262	609	430	117	75	60	206	188	15	116	149	207	82	21	
55	129	85	22	20	18	36	104	14	48	35	61	57	3	
533	962	685	241	125	122	358	458	101	126	276	432	301	26	
7	20	7	1	0	0	1	7	1	4	0	7	3	1	
581	1071	763	262	145	140	393	555	114	170	311	486	355	28	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	4	2	2	2	1	0	1	0	6	5	1	0	
167	355	230	44	29	36	86	120	4	12	46	79	78	9	
42	65	54	25	7	3	25	34	10	13	30	49	26	1	
359	624	466	188	103	98	274	394	98	143	221	348	244	18	
2	4	3	1	1	0	0	0	1	0	3	1	4	0	
5	12	4	2	1	1	3	3	0	2	4	2	1	0	
0	5	2	0	2	0	1	4	0	0	1	2	1	0	
4	2	0	0	0	0	3	0	0	0	0	0	0	0	
