"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	
1143	192	182	98	220	1760	270	941	1121	181	71	186	89	100	142	203	407	243	
1050	210	195	130	230	1700	290	950	1050	190	88	200	100	110	160	240	430	260	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
585	109	99	60	149	928	131	539	603	102	28	113	58	59	88	150	317	164	
109	19	13	18	21	89	42	82	121	36	13	14	8	8	13	28	30	33	
356	82	83	52	60	683	117	329	326	52	47	73	34	43	59	62	83	63	
109	19	13	18	21	89	42	82	121	36	13	14	8	8	13	28	30	33	
585	109	99	60	149	928	131	539	603	102	28	113	58	59	88	150	317	164	
7	0	0	0	3	12	3	5	7	0	0	1	0	0	1	3	3	0	
687	128	112	78	167	1005	170	616	717	138	41	126	66	67	100	175	344	197	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	2	1	0	1	9	2	1	4	0	0	1	0	0	2	4	1	0	
108	15	21	6	47	115	12	69	116	44	2	13	11	5	11	32	61	19	
88	23	9	7	16	146	30	88	80	22	5	11	5	7	15	16	55	17	
463	87	79	63	97	708	126	449	496	66	34	100	45	54	72	118	223	156	
6	1	0	2	3	12	0	4	9	2	0	0	3	1	0	2	1	2	
4	0	1	0	3	7	0	1	5	1	0	0	0	0	0	2	2	3	
8	0	1	0	0	7	0	2	3	0	0	1	1	0	0	0	1	0	
3	0	0	0	0	1	0	2	4	3	0	0	1	0	0	1	0	0	
