"УИК №4801"	"УИК №4802"	"УИК №4803"	"УИК №4804"	"УИК №4805"	"УИК №4806"	"УИК №4807"	"УИК №4808"	"УИК №4809"	"УИК №4810"	"УИК №4811"	"УИК №4812"	"УИК №4813"	"УИК №4814"	"УИК №4815"	"УИК №4816"	"УИК №4817"	"УИК №4818"	"УИК №4819"	"УИК №4820"	"УИК №4821"	"УИК №4822"	"УИК №4823"	"УИК №4824"	"УИК №4825"	"УИК №4826"	"УИК №4827"	
790	788	1008	358	591	166	46	86	130	209	93	569	66	199	558	75	66	644	65	124	100	564	163	273	429	707	356	
650	650	900	350	550	150	60	100	130	200	80	500	70	300	500	70	80	600	80	170	160	500	160	250	450	700	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
483	472	595	246	352	92	34	70	85	134	56	333	49	168	275	57	44	363	40	91	55	254	106	166	262	388	189	
74	33	54	40	58	29	12	9	18	23	20	36	8	22	34	9	16	53	4	14	4	60	10	22	30	57	43	
93	145	251	64	140	29	14	21	27	43	4	131	13	110	191	4	20	184	36	65	101	186	44	62	158	255	118	
74	33	54	40	58	29	12	9	18	23	20	36	8	22	34	9	16	53	4	14	4	60	10	22	30	57	43	
483	472	595	246	352	92	34	70	85	134	56	333	49	168	275	57	44	363	40	91	55	254	106	166	262	388	189	
5	3	7	13	5	0	3	0	0	1	2	4	1	3	1	1	1	10	1	0	2	5	0	2	4	3	0	
552	502	642	273	405	121	43	79	103	156	74	365	56	187	308	65	59	406	43	105	57	309	116	186	288	442	232	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	1	2	4	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0	1	3	5	2	
55	57	77	42	20	11	4	8	5	18	14	65	6	17	41	1	8	31	7	3	4	47	5	25	40	18	39	
52	30	64	20	29	13	5	2	4	7	4	23	6	16	24	4	1	29	7	5	2	39	7	4	36	13	27	
416	396	483	206	349	97	31	67	93	128	54	267	44	148	235	60	50	338	29	97	51	203	100	154	201	397	154	
7	4	8	2	0	0	0	0	1	1	1	3	0	2	2	0	0	3	0	0	0	8	2	0	3	3	3	
3	0	3	1	1	0	2	1	0	2	1	4	0	2	1	0	0	1	0	0	0	4	0	0	2	1	3	
7	2	3	0	1	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	2	1	2	2	3	2	
7	9	3	0	1	0	0	1	0	0	0	2	0	0	2	0	0	2	0	0	0	3	1	0	1	2	2	
