"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №44"	"УИК №45"	"УИК №47"	"УИК №48"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №58"	
1881	1393	392	412	225	142	342	197	260	158	254	971	282	353	359	306	356	277	765	620	303	141	
1600	1200	350	400	220	130	340	200	250	150	250	900	250	350	350	300	350	270	800	600	290	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1044	711	195	263	127	89	114	99	116	71	160	471	140	175	177	120	188	122	306	279	104	79	
96	71	45	47	20	20	41	38	30	30	35	114	31	68	65	77	34	39	129	157	80	25	
460	418	110	90	73	21	185	63	104	49	55	315	79	107	108	103	128	109	365	164	106	26	
96	71	45	47	20	20	41	38	30	30	35	114	31	68	65	77	34	39	129	157	80	25	
1044	711	195	263	127	89	114	99	116	71	160	471	140	175	177	120	188	122	306	279	104	79	
15	7	3	3	0	1	0	2	0	0	0	4	0	1	0	0	3	0	2	5	2	0	
1125	775	237	307	147	108	155	135	146	101	195	581	171	242	242	197	219	161	433	431	182	104	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	8	1	5	2	1	1	0	1	0	5	10	2	2	0	1	2	1	2	4	2	0	
183	96	15	45	20	11	11	43	16	11	17	67	37	37	50	19	20	5	57	20	8	7	
95	77	30	41	13	13	15	20	13	8	22	65	22	14	31	24	47	20	44	73	11	8	
820	579	187	208	108	81	126	69	112	79	149	416	109	187	155	147	150	132	317	330	155	88	
11	7	3	3	1	0	0	1	1	1	0	10	1	2	1	1	0	1	2	1	1	0	
4	6	0	3	1	2	0	0	1	1	1	5	0	0	3	2	0	2	2	1	5	0	
4	2	1	0	2	0	0	2	2	1	0	3	0	0	2	1	0	0	8	1	0	0	
2	0	0	2	0	0	2	0	0	0	1	5	0	0	0	2	0	0	1	1	0	1	
