"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	
834	491	467	392	300	238	224	273	235	215	456	248	242	215	111	464	695	1133	1113	1139	
886	514	469	444	305	251	225	275	237	226	453	251	237	225	115	485	735	1197	1164	1215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
470	287	283	284	233	130	132	166	117	151	186	166	134	76	70	245	484	698	661	673	
177	172	94	101	42	101	76	97	73	56	255	74	97	120	36	146	106	93	128	139	
239	55	92	59	30	20	17	12	47	19	12	11	6	29	9	94	145	406	375	403	
177	172	94	101	42	101	76	97	73	56	255	74	97	120	36	146	106	93	128	139	
470	287	283	284	233	130	132	166	117	151	186	166	134	76	70	245	484	698	661	673	
2	2	2	0	1	0	2	0	1	2	1	1	0	0	0	1	27	11	9	11	
645	457	375	385	274	231	206	263	189	205	440	239	231	196	106	390	563	780	780	801	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	3	2	2	0	2	5	1	1	6	2	1	1	0	0	2	7	6	2	
83	48	16	29	25	15	14	23	19	12	36	7	14	26	5	52	40	105	78	102	
43	14	49	19	14	3	21	16	19	11	35	23	15	12	7	29	23	56	67	74	
508	388	294	330	231	211	165	217	148	176	359	200	188	154	91	305	489	582	602	600	
3	4	3	3	1	0	1	0	0	4	2	4	5	0	1	0	4	10	13	11	
4	2	5	2	1	0	3	1	0	1	1	2	3	2	0	1	3	7	4	5	
1	0	5	0	0	2	0	1	2	0	0	1	4	0	2	2	2	9	7	2	
0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	4	3	5	
