"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	
67	609	1498	1097	1478	536	645	52	
70	515	1395	1110	1425	560	665	50	
0	0	17	0	0	0	20	0	
45	414	876	574	923	334	403	29	
1	8	32	43	57	12	12	0	
24	93	470	493	445	214	230	21	
1	8	49	43	57	12	32	0	
45	414	876	574	923	334	403	29	
0	3	6	5	21	2	6	0	
46	419	919	612	959	344	429	29	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

0	3	1	1	5	0	1	0	
5	40	95	88	143	44	82	4	
9	38	94	60	109	46	51	9	
29	330	709	445	670	252	289	15	
0	1	8	4	8	1	3	1	
0	4	6	4	9	0	1	0	
0	1	5	1	7	1	0	0	
3	2	1	9	8	0	2	0	
