"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	
840	601	732	584	898	534	893	818	580	900	378	862	867	744	917	
850	550	650	550	850	500	850	750	500	900	350	800	800	700	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
424	312	362	314	358	210	296	342	223	436	196	550	711	384	563	
86	95	66	101	95	69	213	77	99	147	44	32	62	85	41	
340	143	222	135	397	221	341	331	178	317	110	218	27	231	296	
86	95	66	101	95	69	213	77	99	147	44	32	62	85	41	
424	312	362	314	358	210	296	342	223	436	196	550	711	384	563	
5	3	0	0	5	2	1	1	5	2	1	6	0	3	5	
505	404	428	415	448	277	508	418	317	581	239	576	773	466	599	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	1	1	2	1	5	5	0	2	3	5	11	3	8	
24	30	36	15	44	30	38	55	29	49	19	68	42	52	64	
59	24	31	19	30	15	32	41	21	38	13	44	28	26	42	
367	336	346	375	357	224	429	307	262	479	201	451	662	376	466	
32	1	5	1	10	4	1	4	2	6	3	1	10	2	8	
14	6	6	0	3	2	1	3	2	3	0	6	8	2	4	
5	4	2	1	1	1	1	2	0	4	0	0	7	2	4	
2	1	1	3	1	0	1	1	1	0	0	1	5	3	3	
