"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	
200	716	527	2254	1496	152	258	386	691	308	463	506	208	157	329	282	532	159	565	169	200	
200	690	500	2100	1400	140	240	370	650	280	450	520	200	170	310	280	520	160	520	160	200	
0	128	0	7	0	0	0	75	46	33	108	0	0	6	0	32	14	0	0	0	11	
140	355	310	1325	851	88	144	172	315	139	188	310	116	96	252	110	326	82	341	103	93	
11	17	14	72	55	9	12	4	32	10	16	25	6	9	8	11	15	8	19	7	6	
49	190	176	696	494	43	84	119	257	98	138	185	78	59	50	127	165	70	160	50	90	
11	145	14	79	55	9	12	79	78	43	124	25	6	15	8	43	29	8	19	7	17	
140	355	310	1325	851	88	144	172	315	139	188	310	116	96	252	110	326	82	341	103	93	
1	3	3	21	3	2	1	0	3	0	0	2	1	1	4	0	0	0	5	1	0	
150	497	321	1383	903	95	155	251	390	182	312	333	121	110	256	153	355	90	355	109	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	8	1	11	5	2	0	2	4	0	2	1	2	0	0	1	0	0	4	0	0	
3	59	36	155	108	21	7	3	39	6	32	31	12	3	29	6	18	3	41	16	10	
23	88	37	156	117	10	17	39	48	7	57	38	7	22	45	23	38	32	47	10	16	
122	322	237	1018	648	62	129	199	288	166	217	253	96	83	179	113	293	53	257	81	82	
0	8	2	16	6	0	2	3	4	1	1	5	0	0	0	9	5	1	0	1	1	
1	10	2	9	6	0	0	0	1	1	1	0	3	2	2	0	0	0	3	1	0	
0	0	4	9	7	0	0	5	4	1	2	3	1	0	1	0	1	1	3	0	0	
0	2	2	9	6	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	1	
