"УИК №3501"	"УИК №3502"	"УИК №3503"	"УИК №3504"	"УИК №3505"	"УИК №3506"	"УИК №3507"	"УИК №3508"	"УИК №3509"	"УИК №3510"	"УИК №3511"	"УИК №3512"	"УИК №3513"	"УИК №3514"	"УИК №3515"	"УИК №3516"	"УИК №3517"	"УИК №3518"	"УИК №3519"	"УИК №3520"	"УИК №3521"	"УИК №3522"	"УИК №3523"	"УИК №3524"	"УИК №3525"	"УИК №3526"	"УИК №3527"	"УИК №3528"	"УИК №3529"	"УИК №3530"	"УИК №3531"	"УИК №3532"	"УИК №3533"	"УИК №3534"	"УИК №3535"	"УИК №3536"	"УИК №3537"	"УИК №3538"	"УИК №3539"	
2780	2537	2001	2361	2598	1187	2666	2605	2636	2601	2700	1877	1857	1958	2310	1741	2381	2303	2313	2944	2387	2504	2116	520	2356	1640	1636	2228	2170	2138	2100	2397	1891	1946	2744	2591	1864	2776	632	
2450	2300	1850	2150	2400	1050	2400	2400	2400	2400	2400	1700	1750	1750	2100	1600	2200	2100	2200	2700	2000	2250	2000	520	2200	1350	1400	2050	2000	1950	1950	2250	1750	1800	2500	2400	1650	2200	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1688	1541	1157	1226	1288	572	1320	1352	1343	1174	1720	1150	932	1104	1283	804	1341	1133	1224	1492	1463	1667	1322	405	1191	894	910	1313	1268	1259	1284	1427	1128	1193	1686	1649	1040	1723	442	
26	39	30	63	66	28	73	74	43	50	41	30	35	44	42	27	67	50	52	47	44	40	43	108	30	38	15	26	26	20	36	17	22	17	33	34	31	9	181	
736	720	663	861	1046	450	1007	974	1014	1176	639	520	783	602	775	769	792	917	924	1161	493	543	635	7	979	418	475	711	706	671	630	806	600	590	781	717	579	468	77	
26	39	30	63	66	28	73	74	43	50	41	30	35	44	42	27	67	50	52	47	44	40	43	108	30	38	15	26	26	20	36	17	22	17	33	34	31	9	181	
1686	1541	1157	1226	1288	571	1319	1351	1343	1174	1719	1150	932	1103	1282	804	1341	1133	1224	1491	1463	1666	1322	405	1189	894	910	1312	1265	1259	1284	1427	1128	1193	1686	1649	1040	1721	442	
21	16	13	14	15	7	16	19	14	7	24	17	11	16	13	4	18	14	17	21	25	19	16	3	17	3	10	13	8	16	16	9	10	14	21	13	4	8	4	
1691	1564	1174	1275	1339	592	1376	1406	1372	1217	1736	1163	956	1131	1311	827	1390	1169	1259	1517	1482	1687	1349	510	1202	929	915	1325	1283	1263	1304	1435	1140	1196	1698	1670	1067	1722	619	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	6	6	3	8	2	6	14	10	5	18	4	4	12	11	10	11	11	12	10	11	13	10	3	7	6	4	13	4	11	15	8	11	12	6	13	3	7	3	
272	255	174	179	163	51	189	217	180	180	258	188	119	145	187	92	203	175	164	228	233	238	203	14	152	131	127	207	196	211	194	215	197	185	266	230	165	257	66	
129	89	88	82	89	59	86	102	105	78	99	76	84	84	95	62	87	98	102	102	110	102	67	18	82	72	76	96	82	75	84	96	95	71	89	119	48	108	39	
1207	1135	874	953	1034	463	1044	1022	1023	908	1287	854	715	849	965	629	1019	836	928	1104	1075	1255	1002	460	921	687	687	958	941	924	951	1052	771	883	1258	1245	787	1270	486	
26	30	4	26	9	9	14	13	22	21	23	15	12	18	18	11	30	22	17	21	18	37	17	5	15	11	9	18	27	17	19	24	23	18	37	25	28	40	8	
17	16	7	10	13	4	16	9	12	8	16	9	10	8	6	8	18	11	19	22	14	15	24	6	8	11	4	17	12	12	11	17	14	12	13	8	6	7	2	
14	14	13	10	17	0	10	15	16	7	15	12	9	9	14	7	18	10	12	20	12	14	12	2	10	6	3	7	12	10	18	13	15	7	19	20	19	21	3	
13	19	8	12	6	4	11	14	4	10	20	5	3	6	15	8	4	6	5	10	9	13	14	2	7	5	5	9	9	3	12	10	14	8	10	10	11	12	12	
