"УИК №3091"	"УИК №3092"	"УИК №3093"	"УИК №3094"	"УИК №3095"	"УИК №3096"	"УИК №3097"	"УИК №3098"	"УИК №3099"	"УИК №3100"	"УИК №3101"	"УИК №3102"	"УИК №3103"	"УИК №3104"	"УИК №3105"	"УИК №3106"	"УИК №3107"	"УИК №3108"	"УИК №3109"	"УИК №3110"	"УИК №3111"	"УИК №3112"	"УИК №3113"	"УИК №3114"	"УИК №3115"	"УИК №3116"	"УИК №3117"	"УИК №3118"	"УИК №3119"	"УИК №3120"	"УИК №3121"	"УИК №3122"	"УИК №3123"	"УИК №3124"	"УИК №3125"	"УИК №3126"	"УИК №3127"	"УИК №3128"	"УИК №3129"	"УИК №3130"	"УИК №3131"	"УИК №3132"	"УИК №3133"	"УИК №3134"	"УИК №3135"	"УИК №3136"	"УИК №3137"	"УИК №3138"	"УИК №3139"	"УИК №3140"	"УИК №3141"	"УИК №3142"	"УИК №3143"	"УИК №3144"	"УИК №3145"	"УИК №3146"	"УИК №3147"	"УИК №3148"	"УИК №3149"	"УИК №3150"	"УИК №3151"	"УИК №3152"	"УИК №3153"	"УИК №3154"	"УИК №3155"	
321	534	2031	573	589	234	327	912	430	774	649	359	1141	548	700	576	609	1500	410	430	247	729	609	734	1194	603	517	368	390	198	304	890	428	1649	244	448	1337	1397	630	506	497	1169	343	271	1259	1430	542	1063	1621	1320	1376	1417	1265	1469	1401	1505	1539	1479	1306	1383	1458	1687	1310	1452	212	
330	505	1900	550	550	230	320	860	400	730	630	340	1100	500	660	550	560	1370	380	400	250	700	570	670	1100	570	500	380	360	195	305	880	430	1550	230	420	1250	1250	610	470	450	1100	330	260	1020	1200	440	900	1250	1100	1150	1200	1050	1250	1150	1250	1300	1250	1100	1150	1200	1400	1100	1200	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
271	458	1672	496	521	211	295	773	362	517	307	305	921	425	628	496	451	1245	329	360	224	659	495	643	987	545	486	363	352	171	234	751	366	1310	200	373	1161	1049	559	433	439	829	304	248	973	824	413	764	1217	938	774	1068	889	1025	916	1210	1056	1119	806	1102	1042	1113	887	1166	1	
18	27	116	20	15	6	0	20	13	46	45	23	62	46	26	40	73	50	26	11	15	28	30	17	79	10	5	5	6	7	28	29	23	92	10	44	28	32	8	20	11	33	14	2	45	157	20	17	10	16	36	36	26	26	27	37	54	28	35	5	26	14	25	15	211	
41	20	112	34	14	13	25	67	25	167	278	12	117	29	6	14	36	75	25	29	11	13	45	10	34	15	9	12	2	17	43	100	41	148	20	3	61	169	43	17	0	238	12	10	2	219	7	119	23	146	340	96	135	199	207	3	190	103	259	43	132	273	188	19	3	
18	27	116	20	15	6	0	20	13	46	45	23	62	46	26	40	73	50	26	11	15	28	30	17	79	10	5	5	6	7	28	29	23	92	10	44	28	32	8	20	11	33	14	2	45	156	20	17	10	16	36	36	26	26	27	37	54	28	35	5	26	14	25	15	211	
271	458	1672	496	521	211	295	766	362	517	307	305	921	425	628	496	451	1245	329	360	224	659	495	643	987	545	486	363	352	171	234	751	366	1310	200	373	1161	1049	559	433	439	829	304	248	973	824	413	762	1217	938	774	1068	888	1025	916	1210	1056	1119	806	1102	1042	1113	887	1166	1	
0	0	0	5	0	1	0	7	5	0	2	0	10	0	0	0	3	5	8	0	0	4	0	1	0	2	0	0	0	0	1	8	0	0	0	3	0	0	6	0	4	17	0	0	5	17	0	13	4	7	25	0	25	16	20	0	20	11	6	4	29	12	0	2	0	
289	485	1788	511	536	216	295	779	370	563	350	328	973	471	654	536	521	1290	347	371	239	683	525	659	1066	553	491	368	358	178	261	772	389	1402	210	414	1189	1081	561	453	446	845	318	250	1013	963	433	766	1223	947	785	1104	889	1035	923	1247	1090	1136	835	1103	1039	1115	912	1179	212	
