"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	
82	61	117	99	1392	
109	71	138	120	1362	
0	0	3	2	0	
60	50	95	69	893	
1	0	2	8	92	
48	21	38	41	377	
1	0	5	10	92	
60	50	95	69	893	
0	0	1	0	9	
61	50	99	79	976	
0	0	0	0	0	
0	0	0	0	0	

1	0	0	1	3	
4	11	10	10	153	
3	1	2	12	41	
52	37	87	49	748	
0	0	0	4	17	
0	1	0	2	6	
1	0	0	1	1	
0	0	0	0	7	
