"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	
158	232	310	349	227	96	129	80	140	186	101	121	222	234	260	134	488	363	223	97	237	1850	1699	
164	220	296	354	229	113	132	84	146	194	105	135	219	226	261	136	480	361	237	113	224	1796	1682	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
67	126	153	154	125	41	73	38	80	79	50	73	108	107	146	79	254	174	102	66	130	1084	994	
19	16	55	57	29	8	13	10	26	41	21	9	44	25	16	8	42	21	23	10	23	129	100	
78	78	88	143	75	64	46	36	40	74	34	53	67	94	99	49	184	166	112	37	71	583	588	
19	16	55	57	29	8	13	10	26	41	21	9	44	25	16	8	42	21	23	10	23	129	100	
67	126	153	154	125	41	73	38	80	79	50	73	108	107	146	79	254	174	102	66	130	1084	994	
1	2	2	0	1	0	0	0	1	3	0	0	1	0	0	1	7	0	0	0	0	12	12	
85	140	206	211	153	49	86	48	105	117	71	82	151	132	162	86	289	195	125	76	153	1201	1082	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	2	0	0	0	0	1	1	0	0	1	1	1	1	2	1	0	0	1	11	7	
15	16	44	37	32	2	22	11	22	17	23	15	36	30	29	15	48	30	17	11	16	258	277	
13	8	30	24	31	4	21	5	21	12	10	9	12	26	18	27	33	13	10	5	18	128	116	
56	112	126	146	89	43	41	32	56	83	36	57	100	73	111	42	197	147	96	57	117	767	657	
0	3	2	0	0	0	1	0	5	3	1	0	1	1	0	1	3	2	1	1	1	16	10	
1	0	1	0	0	0	1	0	0	1	1	0	0	0	3	0	5	1	0	1	0	8	9	
0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	9	3	
0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	4	3	
