"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	"УИК №1547"	"УИК №1548"	"УИК №1549"	"УИК №1550"	"УИК №1551"	"УИК №1552"	"УИК №1553"	"УИК №1554"	"УИК №1555"	"УИК №1556"	"УИК №1557"	"УИК №1558"	"УИК №1559"	"УИК №1560"	"УИК №1561"	"УИК №1562"	"УИК №1563"	"УИК №1564"	"УИК №1565"	"УИК №1566"	"УИК №1567"	"УИК №1568"	"УИК №1569"	"УИК №1570"	"УИК №1571"	"УИК №1573"	"УИК №1574"	"УИК №1576"	"УИК №1577"	"УИК №1578"	"УИК №1579"	"УИК №1580"	"УИК №1581"	"УИК №1582"	"УИК №1583"	"УИК №1584"	"УИК №1585"	"УИК №1586"	"УИК №1587"	"УИК №1588"	"УИК №1589"	"УИК №1590"	"УИК №1591"	"УИК №2822"	"УИК №2835"	
608	444	2688	2613	2632	956	1457	1323	631	880	636	1537	527	434	208	159	530	357	2496	2848	1293	1471	889	864	931	824	1580	894	854	1118	205	1044	1052	1002	1021	561	347	320	329	583	1276	994	256	685	177	170	150	161	349	392	443	482	213	265	132	2210	1130	
611	443	2363	2638	2653	976	1495	1328	639	872	622	1557	539	448	209	158	540	369	2451	2962	1154	1541	885	826	924	833	1598	920	848	1095	191	1084	1058	1026	1036	562	348	322	326	595	1295	787	262	700	182	165	157	161	353	401	435	492	217	261	123	2169	1141	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
541	364	1871	1691	2387	790	1191	1156	539	709	445	1197	503	409	197	150	507	334	1348	2252	1084	1147	810	715	803	677	1366	739	662	977	184	596	864	608	743	467	300	245	315	535	959	746	232	584	163	150	142	149	324	378	402	422	204	258	114	2031	956	
9	13	26	33	54	42	61	34	42	26	67	64	9	11	6	5	14	16	82	144	54	38	34	46	55	65	84	57	31	56	7	75	43	34	66	65	43	59	10	32	91	41	12	87	5	9	5	6	8	7	20	41	7	0	9	19	14	
61	66	466	914	212	144	243	138	58	137	110	296	27	28	6	3	19	19	1021	566	16	356	41	65	66	91	148	124	155	62	0	413	151	384	227	30	5	18	1	28	245	0	18	29	14	6	10	6	21	16	13	29	6	3	0	119	171	
9	13	26	33	54	42	61	34	42	26	67	64	9	11	6	5	14	16	82	144	54	38	34	46	55	65	84	57	31	56	7	75	43	34	66	65	43	59	10	32	91	41	12	87	5	9	5	6	8	7	20	41	7	0	9	19	14	
541	364	1871	1691	2387	790	1191	1156	539	709	445	1197	503	409	197	150	507	334	1348	2252	1084	1147	810	715	803	677	1366	739	662	977	184	596	864	608	743	467	300	245	315	535	959	745	232	584	163	150	142	149	324	378	402	422	204	258	114	2031	956	
9	4	47	26	2	15	10	11	8	14	0	4	0	0	0	0	3	0	18	37	14	0	0	10	0	10	0	0	45	10	2	8	14	6	3	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	
541	373	1850	1698	2439	817	1242	1179	573	721	512	1257	512	420	203	155	518	350	1412	2359	1124	1185	844	751	858	732	1450	796	648	1023	189	663	893	636	806	532	343	304	325	565	1047	784	244	671	168	159	147	155	332	385	422	463	211	258	123	2039	956	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	0	10	7	7	2	3	2	10	5	3	1	1	0	0	0	1	0	6	19	2	0	4	4	22	4	2	2	9	10	0	6	2	2	4	2	0	1	0	0	2	0	1	2	0	0	0	0	1	0	0	0	0	0	1	5	1	
53	26	340	315	244	39	128	138	51	74	38	121	19	16	8	5	14	10	244	98	251	178	38	40	53	53	218	76	21	46	5	129	100	46	80	35	10	20	6	36	215	140	2	17	8	7	4	8	16	17	13	13	6	5	3	256	136	
31	25	100	100	103	14	46	54	29	18	33	40	8	4	3	4	5	7	70	117	49	24	24	38	32	31	49	33	29	51	4	42	42	35	73	37	3	9	3	5	9	12	2	8	9	1	3	4	0	5	2	2	3	4	2	59	56	
440	311	1338	1215	1967	743	1028	962	458	603	418	1046	476	395	191	146	495	333	1002	1960	810	976	766	645	704	623	1160	654	562	877	175	469	716	543	595	447	329	267	316	522	810	630	239	638	151	151	140	143	314	359	405	444	202	247	117	1653	719	
6	4	29	30	33	4	19	6	11	11	8	22	2	2	1	0	1	0	43	90	6	5	5	13	11	7	9	15	12	15	2	8	12	5	19	1	1	1	0	2	4	1	0	2	0	0	0	0	1	1	1	1	0	1	0	31	18	
1	2	5	10	24	0	8	8	0	0	2	8	1	0	0	0	2	0	13	33	5	2	2	2	20	6	9	1	6	10	1	7	10	2	9	7	0	3	0	0	4	1	0	1	0	0	0	0	0	1	0	1	0	0	0	9	10	
2	3	13	9	16	7	7	3	8	3	4	9	2	0	0	0	0	0	11	22	0	0	2	4	15	4	0	5	1	2	1	1	4	2	10	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	12	7	
3	2	15	12	45	8	3	6	6	7	6	10	3	3	0	0	0	0	23	20	1	0	3	5	1	4	3	10	8	12	1	1	7	1	16	1	0	3	0	0	2	0	0	2	0	0	0	0	0	1	1	1	0	0	0	14	9	
