"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	
102	94	1034	504	250	148	114	192	140	103	92	48	324	655	300	221	85	93	395	328	1439	209	192	118	181	156	355	435	
110	95	1050	515	350	150	115	205	140	105	95	45	335	660	305	230	90	100	390	315	1400	215	195	120	180	160	345	430	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56	61	532	368	224	85	80	115	88	59	49	22	191	412	200	96	40	48	271	218	787	141	123	82	108	85	250	214	
11	7	57	10	26	18	7	15	17	7	12	5	13	36	43	56	9	16	19	28	68	16	17	13	17	8	21	9	
43	27	461	137	100	47	28	75	35	39	34	18	131	212	62	78	41	36	100	69	545	58	55	25	55	67	74	207	
11	7	57	10	26	18	7	15	17	7	12	5	13	36	43	56	9	16	19	28	68	16	17	13	17	8	21	9	
56	61	532	368	224	85	80	115	88	59	49	22	191	412	200	96	40	48	271	218	787	141	123	82	108	85	250	214	
0	0	8	2	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	14	10	1	0	0	5	1	0	3	
67	68	581	376	250	103	87	130	105	66	61	27	200	447	243	152	49	64	290	232	845	156	140	95	120	92	271	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	7	3	1	1	2	0	0	0	0	0	2	3	0	0	0	0	1	1	7	0	1	0	1	0	1	0	
4	2	143	110	34	13	11	9	1	4	4	6	36	47	30	33	5	9	53	39	247	19	42	11	27	25	32	61	
4	8	11	5	8	0	6	7	13	2	2	2	15	31	7	5	8	9	7	4	54	1	1	0	1	1	8	7	
58	58	408	254	191	87	64	114	91	59	54	19	139	359	202	113	35	45	225	187	522	134	93	81	89	66	225	147	
0	0	5	1	10	0	2	0	0	0	0	0	4	1	1	0	0	1	1	0	5	2	2	3	1	0	2	5	
1	0	5	2	3	2	0	0	0	1	1	0	1	2	3	1	0	0	3	0	5	0	1	0	1	0	0	0	
0	0	1	1	1	0	1	0	0	0	0	0	1	3	0	0	1	0	0	0	2	0	0	0	0	0	1	0	
0	0	1	0	2	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	3	0	0	0	0	0	2	0	
