"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	"УИК №1243"	
1287	1229	1323	1272	1710	1270	1170	1517	1188	1491	1321	1362	1008	1407	1337	1473	1529	1604	521	1528	466	472	90	596	229	180	199	270	264	122	989	141	131	695	199	249	782	104	260	74	200	71	163	108	419	182	294	45	102	410	121	1008	1039	140	224	81	
1347	1491	1354	1283	1754	1314	1144	1532	1204	1513	1339	1381	1037	1450	1242	1500	1561	1654	528	1404	477	505	88	593	231	180	196	278	266	125	1014	142	127	729	201	264	812	112	259	74	202	71	166	108	430	182	301	45	102	461	121	1043	1052	142	216	82	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
949	841	829	913	1574	843	848	1180	696	1229	1123	942	679	796	804	1080	978	1090	429	1064	340	373	84	577	201	163	177	242	212	52	662	93	120	668	198	213	408	90	219	74	164	66	148	96	345	150	278	45	93	368	82	711	662	113	135	69	
222	278	391	283	68	328	210	217	58	128	105	284	241	498	413	292	388	370	46	340	115	92	0	15	23	15	18	27	46	69	49	41	5	22	0	34	362	9	37	0	9	3	2	10	61	25	12	0	7	28	38	250	327	25	15	11	
176	372	134	87	112	143	86	135	450	156	111	155	117	156	25	128	195	194	53	0	22	40	4	1	7	2	1	9	8	4	303	8	2	39	3	17	42	13	3	0	29	2	16	2	24	7	11	0	2	65	1	82	63	4	66	2	
222	278	391	283	68	328	210	217	58	128	105	284	241	498	413	292	388	370	46	340	115	92	0	15	23	15	18	27	46	69	49	41	5	22	0	34	362	9	37	0	9	3	2	10	61	25	12	0	7	28	38	250	327	25	15	11	
949	841	829	913	1574	843	848	1180	696	1229	1123	942	679	796	804	1080	978	1090	429	1064	340	373	84	577	201	163	177	242	212	52	662	93	120	668	198	213	408	90	219	74	164	66	148	96	345	150	278	45	93	368	82	711	662	113	135	69	
0	0	12	5	37	0	0	0	11	28	0	4	0	0	5	7	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	
1171	1119	1208	1191	1605	1171	1058	1397	743	1329	1228	1222	920	1294	1212	1365	1366	1460	475	1404	455	465	84	591	222	178	195	269	258	121	711	134	125	690	198	247	765	99	256	74	173	69	150	106	406	175	289	45	100	396	120	961	989	138	148	80	
