"УИК №2401"	"УИК №2402"	"УИК №2403"	"УИК №2404"	"УИК №2405"	"УИК №2406"	"УИК №2407"	"УИК №2408"	"УИК №2409"	"УИК №2410"	"УИК №2411"	"УИК №2412"	"УИК №2413"	"УИК №2414"	"УИК №2415"	"УИК №2416"	"УИК №2417"	"УИК №2418"	"УИК №2419"	"УИК №2420"	"УИК №2421"	"УИК №2422"	"УИК №2423"	"УИК №2424"	"УИК №2425"	"УИК №2426"	"УИК №2427"	"УИК №2428"	"УИК №2429"	"УИК №2430"	"УИК №2431"	"УИК №2480"	
730	755	739	689	792	793	391	688	400	763	822	404	322	665	50	66	207	148	264	201	761	513	104	143	56	2585	1189	227	528	718	224	94	
700	720	730	700	750	750	350	650	380	750	800	400	300	650	45	65	200	150	260	200	750	500	100	145	55	2500	1150	230	500	720	205	145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
395	436	494	383	467	490	248	397	259	368	415	204	180	366	29	40	117	88	165	114	439	257	73	77	27	2164	821	176	234	365	124	93	
7	8	6	7	20	21	33	5	3	12	19	8	6	28	0	0	8	3	9	16	39	21	0	4	0	97	12	0	6	8	3	0	
298	276	230	310	263	239	69	248	118	370	366	188	114	256	16	25	75	59	86	70	272	222	27	64	28	239	317	54	260	347	78	52	
7	8	6	7	20	21	33	5	3	12	19	8	6	28	0	0	8	3	9	16	39	21	0	4	0	97	12	0	6	8	3	0	
395	436	494	383	467	490	248	397	259	368	415	204	180	366	29	40	117	88	165	114	439	257	73	77	27	2164	821	176	234	365	124	93	
9	18	4	5	7	6	4	12	6	7	8	1	0	5	0	0	1	2	3	3	17	3	0	3	1	36	16	0	9	9	3	0	
393	426	496	385	480	505	277	390	256	373	426	211	186	389	29	40	124	89	171	127	461	275	73	78	26	2225	817	176	231	364	124	93	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	4	2	5	4	2	5	2	2	1	3	2	1	1	0	0	1	0	0	1	5	0	0	0	0	13	9	0	2	1	0	0	
102	91	109	109	121	113	62	91	75	79	103	53	19	85	2	4	15	4	23	32	102	30	6	8	3	332	183	42	63	70	23	26	
27	42	53	31	35	41	23	23	23	34	41	18	16	32	0	2	17	6	10	9	51	23	9	5	1	264	98	24	27	49	14	6	
254	283	319	230	302	340	181	263	151	251	268	135	147	264	23	32	85	74	132	83	285	220	57	64	22	1477	507	99	133	241	83	60	
2	5	7	3	5	4	4	6	2	3	3	0	3	3	3	0	2	4	3	1	3	2	1	0	0	109	9	8	2	1	0	0	
2	1	3	3	3	2	1	1	1	1	2	3	0	1	1	0	1	0	1	1	7	0	0	1	0	11	6	0	2	1	1	0	
1	0	3	4	2	1	0	1	1	3	2	0	0	1	0	1	3	1	2	0	3	0	0	0	0	10	2	3	1	1	2	0	
4	0	0	0	8	2	1	3	1	1	4	0	0	2	0	1	0	0	0	0	5	0	0	0	0	9	3	0	1	0	1	1	
