"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	
1896	329	1368	1134	276	827	344	507	760	179	840	302	494	1518	
1800	320	1400	1150	280	850	280	530	720	180	800	250	490	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1017	117	523	497	121	432	226	151	348	90	453	160	259	696	
41	53	165	137	59	37	34	147	54	20	50	36	53	119	
742	150	712	516	100	381	20	232	318	70	297	54	178	685	
41	53	165	137	59	37	34	147	54	20	50	36	53	119	
1017	117	523	497	121	432	226	151	348	90	453	160	259	696	
12	1	10	4	0	4	0	0	4	0	7	0	2	5	
1046	169	678	630	180	465	260	298	398	110	496	196	310	810	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	1	8	6	1	2	3	0	2	0	6	1	1	3	
136	15	55	69	10	51	33	18	39	13	73	21	36	112	
107	23	40	42	14	25	13	18	21	9	28	15	23	56	
768	125	561	498	149	378	207	257	326	87	374	151	243	613	
10	2	5	6	2	2	2	2	4	0	11	4	1	9	
11	0	5	3	1	3	1	1	4	1	0	1	3	3	
3	1	2	3	3	3	1	2	2	0	2	1	2	7	
2	2	2	3	0	1	0	0	0	0	2	2	1	7	
