"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	
1525	2158	821	766	315	102	197	146	444	883	914	214	206	429	633	602	372	620	185	434	150	394	627	417	229	541	
1400	2000	800	700	300	90	180	130	400	800	850	200	200	400	550	550	350	580	150	400	140	350	600	400	200	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
925	1453	491	458	170	54	132	66	248	600	570	159	131	263	297	341	214	316	100	238	84	179	338	243	112	254	
42	59	60	36	35	10	10	21	42	69	74	10	41	40	70	43	40	121	34	31	15	43	57	24	17	82	
433	488	249	206	95	26	38	43	110	131	206	31	28	97	183	166	96	143	16	131	41	128	205	133	71	164	
42	59	60	36	35	10	10	21	42	69	74	10	41	40	70	43	40	121	34	31	15	43	57	24	17	82	
925	1453	491	458	170	54	132	66	248	600	570	159	131	263	297	341	214	316	100	238	84	179	338	243	112	254	
12	18	7	3	4	0	0	2	1	12	12	1	0	3	2	1	2	1	3	4	0	3	2	1	0	7	
955	1494	544	491	201	64	142	85	289	657	632	168	172	300	365	383	252	436	131	265	99	219	393	266	129	329	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	9	4	0	0	0	0	1	1	4	2	1	3	0	1	2	3	0	4	0	1	1	1	0	0	2	
90	200	66	52	16	2	6	5	31	62	48	11	16	12	21	19	19	41	7	18	5	20	40	23	9	18	
103	140	51	61	5	4	2	13	25	67	78	24	7	16	25	24	10	24	14	29	10	22	35	10	7	29	
731	1110	409	369	178	57	134	64	227	511	493	128	143	268	316	333	217	364	104	215	83	171	314	230	111	276	
7	17	9	3	0	1	0	1	3	5	2	1	0	3	2	1	1	0	2	1	0	2	2	1	2	1	
9	10	2	2	0	0	0	0	1	2	2	1	3	1	0	2	1	7	0	1	0	2	0	2	0	2	
5	3	2	1	2	0	0	0	1	2	5	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	
1	5	1	3	0	0	0	1	0	4	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
