"УИК №1006"	"УИК №1007"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	"УИК №1749"	"УИК №1750"	"УИК №1751"	"УИК №1752"	
224	144	157	1921	1640	1386	319	1184	416	516	300	692	514	938	451	752	185	
210	140	150	1600	1500	1300	350	1000	400	500	300	700	500	800	400	700	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
128	98	99	1151	901	754	177	691	245	295	193	379	308	518	241	376	109	
18	17	8	98	87	88	24	59	31	64	30	36	38	50	30	61	28	
64	25	43	351	512	458	149	250	124	141	77	285	154	232	129	263	53	
18	17	8	98	87	88	24	59	31	64	30	36	38	50	30	61	28	
128	98	99	1151	901	754	177	691	245	295	193	379	308	518	241	376	109	
0	2	1	12	15	7	2	4	4	3	0	6	3	5	3	4	1	
146	113	106	1237	973	835	199	746	272	356	223	409	343	563	268	433	136	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	7	6	4	1	6	2	2	3	5	3	7	1	2	1	
25	18	17	345	295	246	26	215	66	92	69	85	62	147	70	98	21	
22	17	9	79	59	56	30	68	25	33	16	29	37	54	24	41	17	
92	77	78	781	590	512	137	442	175	223	135	284	232	345	172	288	96	
1	0	1	6	9	3	1	8	2	4	0	1	1	3	0	2	1	
1	0	0	7	5	7	3	3	2	1	0	3	7	4	0	1	0	
1	0	1	4	4	4	1	3	0	0	0	1	1	2	1	0	0	
2	1	0	8	5	3	0	1	0	1	0	1	0	1	0	1	0	
