"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	
937	923	931	1632	965	999	1005	828	1139	917	976	518	1057	1023	716	981	
900	850	900	1600	950	1000	1000	850	1150	1000	1050	523	1050	1050	700	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
863	807	860	1199	860	913	916	726	922	826	857	314	983	834	657	885	
20	19	18	41	15	16	18	16	23	28	32	171	11	14	18	13	
17	24	22	360	75	71	66	108	205	146	161	38	56	202	25	102	
20	19	18	41	15	16	18	16	23	28	32	171	11	14	18	13	
863	807	860	1199	860	913	916	726	922	826	857	314	983	820	657	885	
0	14	8	14	8	11	6	7	8	10	8	10	12	12	6	9	
883	812	870	1226	867	918	928	735	937	844	881	475	982	822	669	889	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	5	7	3	7	7	2	3	7	3	4	3	2	2	2	4	
28	75	31	63	44	46	49	35	76	39	47	20	48	27	23	39	
62	96	60	80	61	66	68	51	66	53	53	38	75	45	30	60	
788	611	746	1064	732	764	783	633	758	737	756	402	843	738	603	763	
1	10	10	3	10	16	15	5	11	7	9	2	5	1	3	10	
1	7	6	5	5	5	2	3	5	2	6	4	2	2	4	3	
1	5	3	6	4	4	5	2	7	2	4	1	3	5	1	8	
1	3	7	2	4	10	4	3	7	1	2	5	4	2	3	2	
