"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №3509"	
1143	1244	1423	1168	997	1485	1338	1304	825	714	1573	1241	966	884	1152	885	2505	2020	780	1598	1552	859	1698	1670	2081	1329	2663	2498	2311	1867	2788	1945	2556	2263	2759	2809	1133	805	
950	1050	1100	950	850	1300	1050	1150	750	700	1400	1050	850	750	950	750	2300	1900	650	1300	1400	700	1500	1400	1800	1150	2300	2100	2100	1700	2200	1700	2100	1800	2200	2200	1130	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
697	828	856	785	579	1123	744	765	381	423	1057	464	543	438	552	481	1258	1005	452	953	967	445	933	723	1028	623	1079	1563	1655	1322	1444	1058	1687	1406	1962	1991	1104	594	
40	133	13	84	20	65	3	20	2	2	107	150	71	56	31	8	27	32	125	98	46	54	85	211	89	118	122	39	108	60	31	26	101	274	7	19	6	3	
213	89	231	81	251	112	303	365	367	275	236	436	236	256	367	261	1015	863	73	249	387	201	482	466	683	409	1099	498	337	318	725	616	312	120	231	190	20	153	
40	133	13	84	20	65	3	20	2	2	107	150	71	56	31	8	27	32	125	98	46	54	85	211	89	118	122	39	108	60	31	26	101	274	7	19	6	3	
697	828	856	785	579	1123	744	763	381	423	1057	464	543	438	552	481	1258	1004	452	953	967	445	933	722	1028	623	1079	1561	1655	1322	1444	1058	1687	1406	1962	1990	1104	594	
10	5	2	0	2	0	3	5	0	8	0	5	4	14	8	7	18	28	0	9	14	3	0	17	21	10	14	31	0	5	31	23	0	0	5	12	99	2	
727	956	867	869	597	1188	744	778	383	417	1164	609	610	480	575	482	1267	1008	577	1042	999	496	1018	916	1096	731	1187	1569	1763	1377	1444	1061	1788	1680	1964	1997	1011	595	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	7	3	3	1	5	5	5	4	1	7	3	10	1	3	7	8	6	0	4	9	3	4	2	3	7	6	3	26	10	9	14	5	4	10	5	7	18	
126	144	168	62	73	181	129	148	46	68	148	80	51	72	97	82	216	178	103	125	153	66	108	78	179	105	154	284	115	152	230	188	214	36	412	370	71	33	
24	56	42	17	16	40	39	27	26	10	34	14	86	6	17	26	74	72	42	61	63	40	49	40	93	61	82	236	38	70	100	65	232	51	164	179	103	12	
489	690	567	761	480	927	524	529	290	308	932	492	430	382	416	330	874	704	427	825	729	375	830	762	776	533	890	962	1498	1076	1043	735	1306	1561	1313	1407	767	467	
41	25	33	6	20	15	21	33	5	12	17	11	9	5	17	13	43	20	2	6	17	3	10	18	17	13	21	42	19	26	27	25	10	11	28	19	50	31	
7	9	8	2	1	3	5	10	8	3	11	3	7	5	3	9	11	8	0	12	19	5	10	8	15	6	22	15	17	16	6	10	7	6	11	6	2	13	
12	6	18	7	3	4	5	14	1	7	3	3	3	2	13	6	18	9	0	2	6	1	2	4	3	2	5	13	26	11	13	11	8	8	16	4	3	9	
25	19	28	11	3	13	16	12	3	8	12	3	14	7	9	9	23	11	3	7	3	3	5	4	10	4	7	14	24	16	16	13	6	3	10	7	8	12	
