"УИК №1933"	"УИК №1934"	"УИК №1936"	"УИК №1937"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №1947"	"УИК №1948"	"УИК №1950"	"УИК №1951"	"УИК №2619"	
2310	1998	2253	673	2197	1713	1966	1177	1219	2041	2110	1299	766	118	328	643	521	
2350	2150	2350	750	2300	1750	1950	1250	1300	2150	2200	1400	750	150	400	700	600	
0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	57	
1450	1247	1334	488	1405	1090	1216	755	753	1356	1307	708	365	82	242	328	450	
119	59	61	36	79	41	71	30	36	54	45	75	33	2	10	19	0	
781	844	955	226	816	619	663	465	511	740	848	617	331	66	148	353	93	
119	59	61	36	79	41	71	30	36	54	45	75	54	2	10	19	57	
1450	1247	1333	488	1405	1090	1216	755	753	1356	1307	708	365	82	242	328	450	
25	21	24	12	26	20	19	13	14	31	33	15	13	0	8	5	4	
1544	1285	1370	512	1458	1111	1268	772	775	1379	1319	768	406	84	244	342	503	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	11	11	1	14	4	5	7	4	7	5	4	2	1	1	2	3	
171	143	198	30	218	129	184	115	97	171	192	97	60	7	14	48	48	
143	131	128	39	114	92	95	66	75	110	128	83	37	15	26	31	67	
1187	963	979	437	1067	846	936	562	580	1052	957	564	297	60	194	258	364	
18	11	23	2	18	22	24	10	10	18	16	7	7	0	2	2	18	
7	6	11	3	8	8	7	2	1	4	5	4	2	0	3	0	1	
7	14	6	0	12	4	10	6	6	9	2	7	1	0	2	1	1	
3	6	14	0	7	6	7	4	2	8	14	2	0	1	2	0	1	
