"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	
233	140	1330	360	251	173	138	280	
360	175	1165	520	400	290	205	385	
0	0	61	21	0	27	46	16	
186	95	807	266	200	121	87	238	
13	0	93	20	9	20	5	5	
161	80	204	213	191	122	67	126	
13	0	154	41	9	47	51	21	
186	95	807	266	200	121	87	238	
0	0	12	0	1	0	0	1	
199	95	949	307	208	168	138	258	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

1	0	1	0	1	0	1	0	
4	8	88	11	11	3	12	19	
26	13	101	17	15	10	6	21	
167	74	746	274	174	147	114	213	
0	0	4	2	2	3	2	1	
0	0	1	2	4	1	2	0	
0	0	2	1	0	2	0	1	
1	0	6	0	1	2	1	3	
