"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	
606	488	506	514	658	514	574	493	348	822	825	658	1563	319	417	344	1325	168	229	287	290	129	154	268	298	348	352	398	398	392	303	323	496	486	538	554	505	526	559	607	214	202	206	197	239	259	
590	500	490	490	675	500	600	490	350	810	800	680	1650	315	420	360	1280	180	240	280	300	130	140	270	310	350	365	410	405	400	315	335	500	510	510	540	510	550	570	600	210	200	210	190	260	270	
0	4	0	0	0	0	0	0	0	0	0	47	31	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
312	251	247	302	313	201	292	322	197	438	447	240	635	135	195	122	763	107	105	174	142	51	94	127	162	193	123	234	210	224	166	182	309	299	266	345	254	211	206	268	131	97	116	124	92	98	
32	1	13	4	33	12	30	18	17	14	23	48	94	18	13	19	37	13	16	20	7	3	10	17	5	13	6	8	5	4	15	21	4	13	6	2	0	1	7	70	17	7	5	10	8	9	
246	244	230	184	329	287	278	150	136	358	330	345	890	162	212	219	480	60	119	86	140	76	36	126	143	144	236	168	190	172	134	132	187	198	238	193	256	338	357	262	62	96	89	56	160	163	
32	5	13	4	33	12	30	18	17	14	23	95	125	18	13	19	37	13	16	20	18	3	10	17	5	13	6	8	5	4	15	21	4	13	6	2	0	1	7	70	17	7	5	10	8	9	
312	251	247	302	313	201	292	322	197	438	447	240	635	135	195	122	763	107	105	174	142	51	94	127	162	193	123	234	210	224	166	182	309	299	266	345	254	211	206	268	131	97	116	124	92	98	
9	2	4	8	7	6	4	5	1	15	12	3	16	2	6	2	10	1	2	1	1	2	3	4	1	3	1	4	8	8	4	5	7	5	6	6	3	1	10	3	0	4	6	2	2	2	
335	254	256	298	339	207	318	335	213	437	458	332	744	151	202	139	790	119	119	193	159	52	101	140	166	203	128	238	207	220	177	198	306	307	266	341	251	211	203	335	148	100	115	132	98	105	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	3	0	2	2	1	0	1	0	3	2	2	11	2	2	1	6	0	2	0	1	0	0	0	1	3	0	2	3	3	0	1	2	4	0	5	1	0	1	3	2	0	2	1	3	0	
68	64	67	64	83	46	50	28	31	86	90	42	184	23	46	15	136	15	21	36	18	2	4	23	23	48	24	49	32	41	38	22	47	52	47	67	62	55	50	51	20	17	14	24	20	18	
41	29	17	42	51	30	39	38	33	56	65	45	88	22	28	26	91	12	9	16	8	2	17	26	25	28	29	31	39	27	33	38	46	27	25	32	31	24	29	42	7	10	9	11	8	14	
214	151	169	182	195	129	223	263	145	279	284	238	441	103	124	95	531	90	85	138	131	48	79	87	112	117	72	148	130	145	102	133	209	219	189	234	148	124	116	227	114	68	88	96	66	72	
4	2	2	3	1	0	3	2	3	7	4	1	6	0	0	1	13	1	0	0	0	0	1	1	3	3	2	4	2	2	1	2	1	1	1	1	5	2	4	4	1	3	0	0	1	0	
2	3	0	2	4	0	1	1	0	3	7	3	3	1	1	0	5	1	2	0	0	0	0	1	0	1	0	2	1	2	0	1	0	2	0	1	1	3	2	4	2	0	1	0	0	1	
0	2	0	0	1	1	2	1	0	2	3	1	3	0	0	1	7	0	0	2	0	0	0	2	2	1	1	0	0	0	3	1	0	0	3	0	2	2	0	3	1	2	0	0	0	0	
2	0	1	3	2	0	0	1	1	1	3	0	8	0	1	0	1	0	0	1	1	0	0	0	0	2	0	2	0	0	0	0	1	2	1	1	1	1	1	1	1	0	1	0	0	0	
