"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	
1332	638	525	417	137	
1450	650	600	500	150	
0	0	35	38	15	
938	415	366	263	98	
50	13	27	11	3	
462	222	172	188	34	
50	13	62	49	18	
938	415	366	263	98	
13	3	3	0	3	
975	425	425	312	113	
0	0	0	0	0	
0	0	0	0	0	

7	1	2	1	0	
94	40	30	19	6	
54	23	4	19	2	
802	352	384	263	105	
6	3	3	9	0	
3	1	2	0	0	
2	4	0	1	0	
7	1	0	0	0	
