"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	
1945	1884	2163	1931	830	396	188	699	132	801	1050	809	292	669	614	847	555	592	734	261	865	89	187	
1900	1700	1900	1800	850	450	180	750	120	850	1000	950	350	650	600	2000	620	620	880	300	900	100	180	
0	0	0	0	45	23	33	89	15	85	97	134	36	25	35	0	51	65	92	0	65	19	32	
982	941	1224	973	597	294	107	463	72	446	674	495	206	389	441	694	390	401	536	224	632	51	123	
69	90	40	29	37	22	18	21	15	53	86	30	16	43	28	29	20	37	38	0	23	1	8	
849	669	636	798	171	111	22	177	18	266	143	291	92	193	96	1277	159	117	214	76	180	29	17	
69	90	40	29	82	45	51	110	30	138	183	164	52	68	63	29	71	102	130	0	88	20	40	
982	941	1224	973	597	294	107	463	72	446	674	495	206	389	441	694	390	401	536	224	632	51	123	
20	12	13	12	6	2	1	3	0	3	10	3	3	3	3	8	2	1	8	1	5	1	1	
1031	1019	1251	990	673	337	157	570	102	581	847	656	255	454	501	715	459	502	658	223	715	70	162	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	10	2	1	2	1	2	2	4	0	3	1	2	1	2	3	1	3	2	1	0	2	
201	219	293	265	127	64	19	48	12	166	139	75	14	27	32	79	82	44	151	29	112	8	20	
105	67	67	36	27	9	6	14	14	14	36	19	17	65	43	83	15	22	29	15	48	2	22	
708	693	846	637	504	245	123	487	73	368	650	537	217	352	419	531	348	432	454	168	539	59	117	
9	22	17	21	12	12	4	9	1	14	14	15	2	3	3	12	5	1	12	6	7	0	0	
2	1	4	10	0	3	3	5	0	6	2	3	1	0	0	5	1	0	7	1	4	0	1	
1	5	8	10	0	1	1	1	0	2	5	1	1	3	3	2	2	1	1	1	1	0	0	
2	7	6	9	2	1	0	4	0	7	1	3	2	2	0	1	3	1	1	1	3	1	0	
