"УИК №3201"	"УИК №3202"	"УИК №3203"	"УИК №3204"	"УИК №3205"	"УИК №3206"	"УИК №3207"	"УИК №3208"	"УИК №3209"	"УИК №3210"	"УИК №3211"	"УИК №3212"	"УИК №3213"	"УИК №3214"	"УИК №3215"	"УИК №3216"	"УИК №3217"	"УИК №3218"	"УИК №3219"	"УИК №3220"	"УИК №3221"	"УИК №3222"	"УИК №3223"	"УИК №3224"	"УИК №3225"	"УИК №3226"	"УИК №3227"	"УИК №3228"	"УИК №3229"	"УИК №3230"	"УИК №3231"	"УИК №3232"	"УИК №3233"	"УИК №3234"	"УИК №3235"	"УИК №3236"	"УИК №3237"	"УИК №3238"	"УИК №3239"	"УИК №3240"	"УИК №3241"	"УИК №3242"	"УИК №3243"	"УИК №3244"	"УИК №3245"	"УИК №3246"	"УИК №3247"	"УИК №3248"	"УИК №3249"	"УИК №3250"	"УИК №3251"	"УИК №3252"	"УИК №3253"	"УИК №3254"	"УИК №3255"	"УИК №3256"	"УИК №3257"	"УИК №3258"	"УИК №3259"	"УИК №3260"	"УИК №3261"	"УИК №3262"	"УИК №3263"	"УИК №3264"	"УИК №3265"	"УИК №3266"	"УИК №3267"	"УИК №3268"	"УИК №3269"	"УИК №3270"	"УИК №3271"	"УИК №3272"	"УИК №3273"	"УИК №3274"	"УИК №3275"	
2629	1441	1101	1685	2153	1387	1052	1445	1052	1179	1464	1794	1511	1846	2375	1289	2483	2754	1958	2499	2472	1530	1891	2047	2048	1995	2522	3100	2776	2677	2736	2606	2493	2225	2527	1307	2014	1666	968	2652	1929	1635	1302	966	1918	1472	2156	1937	2908	2239	992	1312	909	2264	2176	2350	1672	2178	1497	2528	2956	1339	1171	2575	2603	2290	2328	1827	2726	2456	1954	1693	472	229	299	
2200	1300	1000	1500	1900	1200	900	1300	900	1000	1300	1500	1400	1700	2200	1100	2100	2400	2100	2300	2300	1400	1600	1800	1800	1800	2100	2700	2400	2300	2400	2400	2300	2000	2300	1200	1900	1400	900	2200	1700	1700	1200	900	1800	1400	2000	1700	2400	2000	800	1100	900	2000	2000	2200	1600	2000	1300	2100	2700	1200	1000	2400	2400	2100	2100	1700	2500	2300	1700	1400	500	250	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1628	838	666	1082	1310	812	622	905	663	705	891	1064	925	1145	1416	760	1478	1668	1256	1563	1511	985	1200	1244	1348	1140	1576	1835	1716	1600	1841	1628	1563	1452	1609	783	1225	1034	512	1625	1139	1058	706	553	1171	875	1269	1157	1787	1336	588	699	381	1351	1366	1559	999	1258	824	1426	1637	827	591	1657	1759	1481	1503	1030	1719	1521	1224	1081	375	227	235	
39	56	19	15	31	25	15	30	33	23	29	18	46	46	45	53	47	64	28	46	46	37	40	38	52	36	67	40	33	46	40	33	41	47	40	44	45	36	14	54	41	31	14	22	45	49	76	37	34	63	40	134	18	18	27	21	38	25	32	57	54	29	116	39	37	46	59	37	23	46	22	16	83	1	49	
533	406	315	403	559	363	263	365	204	272	380	418	429	509	739	287	575	668	816	691	743	378	360	518	400	624	457	825	651	654	519	739	696	501	651	373	630	328	374	521	520	611	480	325	584	476	655	506	579	601	172	267	501	631	607	620	563	717	444	614	1009	344	293	704	604	573	538	633	758	733	454	303	42	22	16	
39	56	19	15	31	25	15	30	33	23	29	18	46	46	45	53	47	64	28	46	46	37	40	38	52	36	67	40	33	46	40	33	41	47	40	44	45	36	14	54	41	31	14	22	45	49	76	37	34	63	40	134	18	18	27	21	38	25	31	57	54	29	116	39	37	45	59	37	23	46	22	16	83	1	49	
1628	838	666	1081	1310	812	621	905	663	705	891	1064	925	1144	1416	760	1478	1667	1256	1562	1510	985	1194	1244	1347	1140	1576	1835	1716	1599	1837	1628	1563	1451	1606	783	1225	799	512	1625	1139	1058	705	553	1170	875	1269	1157	1787	1335	588	699	381	1350	1366	1559	999	1257	793	1424	1637	827	591	1657	1758	1476	1501	1030	1719	1521	1224	1081	375	227	235	
17	14	8	18	18	10	10	6	7	8	11	14	13	7	25	9	19	25	15	23	23	9	25	17	22	23	25	17	26	21	26	24	27	28	25	10	17	5	11	27	13	23	21	9	18	15	22	13	24	28	15	16	5	20	21	23	15	18	10	23	19	15	11	19	21	17	29	18	37	15	13	11	8	4	8	
1650	880	677	1078	1323	827	626	929	689	720	909	1068	958	1183	1436	804	1506	1706	1269	1585	1533	1013	1209	1265	1377	1153	1618	1858	1723	1624	1851	1637	1577	1470	1621	817	1253	830	515	1652	1167	1066	698	566	1197	909	1323	1181	1797	1370	613	817	394	1348	1372	1557	1022	1264	814	1458	1672	841	696	1677	1774	1504	1531	1049	1705	1552	1233	1086	450	224	276	
