"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	
163	880	232	180	140	263	177	131	183	420	96	403	442	181	192	1299	380	310	521	955	319	248	282	158	577	386	144	
150	800	200	170	130	260	200	150	180	400	115	350	385	180	180	1100	350	300	500	900	300	250	250	150	550	350	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
102	605	171	134	112	145	116	67	130	252	44	226	296	126	107	864	237	216	338	578	201	155	156	112	357	188	117	
25	66	18	17	14	50	47	10	19	43	15	43	25	11	39	59	26	38	46	45	25	51	42	18	81	47	8	
23	129	11	19	4	65	37	73	31	105	56	81	64	43	34	177	87	46	116	277	74	44	52	20	112	115	25	
25	66	18	17	14	50	47	10	19	43	15	43	25	11	39	59	26	38	46	45	25	51	42	18	81	47	8	
102	605	171	134	112	145	116	66	130	252	44	226	296	126	107	864	237	216	338	578	201	155	156	112	357	188	117	
0	7	0	5	1	1	1	0	0	5	1	2	5	0	0	13	4	3	6	15	1	1	0	0	4	3	0	
127	664	189	146	125	194	162	76	149	290	58	267	316	137	146	910	259	251	378	608	225	205	198	130	434	232	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	5	0	0	1	0	0	1	1	1	0	1	0	3	0	9	3	5	3	5	1	1	1	2	5	1	0	
10	98	22	23	5	10	19	10	15	30	1	18	32	34	30	158	26	24	54	108	25	14	28	7	52	18	13	
10	42	19	16	7	11	12	2	13	31	9	26	13	9	10	61	17	15	41	55	25	13	8	6	23	11	10	
105	501	146	104	105	172	123	62	117	218	48	214	255	88	104	644	203	201	273	416	163	175	140	107	343	199	95	
1	10	2	0	1	0	6	0	0	5	0	3	4	2	0	13	4	1	5	8	6	1	6	2	4	2	2	
0	2	0	1	1	1	1	1	2	1	0	3	7	1	2	14	2	4	0	5	3	0	1	0	3	1	4	
0	1	0	0	5	0	1	0	1	1	0	2	3	0	0	7	1	0	1	9	1	0	14	2	1	0	1	
1	5	0	2	0	0	0	0	0	3	0	0	2	0	0	4	3	1	1	2	1	1	0	4	3	0	0	
