"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	
330	563	449	418	274	230	331	400	1184	2222	2194	
250	450	350	350	200	200	300	350	1000	1850	1850	
0	0	0	0	0	0	0	0	0	0	0	
119	255	198	221	99	90	144	140	616	1344	1249	
62	137	79	69	49	45	85	103	165	109	81	
69	58	73	60	52	65	71	107	219	397	520	
62	137	79	69	49	45	85	103	165	109	81	
119	255	198	221	99	90	144	140	616	1344	1248	
3	2	3	2	1	2	1	0	9	20	11	
178	390	274	288	147	133	228	243	772	1433	1318	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

3	5	10	2	2	1	4	3	4	12	14	
35	62	39	38	19	22	43	23	115	332	316	
14	34	31	23	12	8	18	28	67	98	90	
124	276	186	218	113	98	159	182	557	950	861	
1	5	3	4	1	1	2	1	8	14	12	
1	5	1	1	0	2	0	2	10	12	10	
0	1	3	1	0	0	0	3	6	7	5	
0	2	1	1	0	1	2	1	5	8	10	
