"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	
1953	1253	1441	736	1220	1770	1529	1655	1464	119	497	911	382	141	1929	1436	690	772	1436	1641	590	
1966	1271	1492	758	1226	1814	1587	1695	1516	118	493	942	386	145	1964	1459	716	783	1467	1661	601	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1511	1005	1160	577	893	1420	1191	1359	1124	112	450	816	359	129	1557	1142	536	626	1158	1238	503	
248	102	112	86	213	140	154	101	158	5	18	88	21	8	198	172	90	144	192	304	54	
207	164	220	95	120	254	242	235	234	1	25	38	6	8	209	145	90	13	117	119	44	
248	102	112	86	213	140	154	101	158	5	18	88	21	8	198	172	90	144	192	304	54	
1511	1005	1160	577	893	1420	1191	1359	1124	112	450	816	359	129	1557	1142	536	626	1158	1238	503	
13	3	1	7	9	9	3	5	13	1	2	4	2	10	9	5	6	3	7	5	5	
1746	1104	1271	656	1097	1551	1342	1455	1269	116	466	900	378	127	1746	1309	620	767	1343	1537	552	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

24	1	18	3	4	17	4	15	6	2	3	0	0	0	8	2	8	2	10	2	1	
132	59	102	59	112	95	106	98	166	23	29	70	18	2	196	88	70	25	68	52	24	
103	75	90	36	49	101	142	90	56	1	20	42	25	9	105	64	31	22	42	38	23	
1454	961	1024	547	921	1314	1082	1232	1016	90	407	784	329	115	1413	1137	498	705	1206	1437	492	
3	2	7	0	5	0	1	4	10	0	5	0	4	0	2	4	6	6	0	2	4	
3	3	2	4	5	3	2	2	8	0	1	2	2	1	6	4	4	3	1	3	4	
27	1	28	6	0	21	3	14	4	0	1	1	0	0	16	4	1	2	16	3	2	
0	2	0	1	1	0	2	0	3	0	0	1	0	0	0	6	2	2	0	0	2	
