"УИК №1"	"УИК №2"	"УИК №3"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	"УИК №1120"	"УИК №1121"	"УИК №1122"	"УИК №1123"	"УИК №1124"	"УИК №1125"	"УИК №1126"	"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	
668	677	1046	1962	2029	2520	2340	2473	2536	2015	2546	2249	2128	1970	2100	1764	2391	1489	1895	2310	1901	2426	2548	2106	2166	2005	3029	2769	1943	1995	2094	2005	2626	2019	2622	2903	2649	1824	1913	1795	1934	2218	2311	2023	2516	1903	2093	1746	2301	2427	1872	2077	1976	1945	2081	2050	2220	2062	2045	1838	2255	2116	2069	1796	1957	1938	2401	2203	2065	1830	1819	1747	1774	1763	1853	2468	2524	2454	1840	1832	2049	2636	2032	2064	2580	2418	2091	1785	1793	1903	1789	2557	2581	2118	1345	2368	2255	1974	2056	1508	
650	650	1000	2000	2000	2500	2000	2500	2500	2000	2500	2200	2000	2000	2000	1700	2300	1500	1800	2200	1800	2300	2500	2000	2000	2000	2500	2700	1800	1800	2000	2000	2600	2000	2500	2800	2600	1800	2000	1800	1800	2000	2200	2000	2500	1800	2000	1800	2300	2300	1800	2000	2000	1900	2000	2000	2000	2000	2000	1800	2200	2100	2000	1700	2000	2000	2400	2200	2000	1800	1800	1700	1700	1700	1800	2500	2500	2500	1800	1800	2000	2600	2000	2000	2500	2500	2000	1700	1700	2000	1800	2500	2500	2100	1200	2200	2200	2000	2000	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
459	471	996	863	1159	1306	1565	1340	1173	1262	1470	1345	1246	994	1299	963	1337	781	1089	1321	843	1345	1560	1218	1102	1186	1659	1690	1262	1213	1275	1191	1596	987	1685	1789	1427	1040	1113	1052	971	1383	1376	1253	1415	1124	1237	1040	1434	1532	1137	1374	1258	1203	1220	1312	1398	1247	1319	1140	1435	1573	1258	1111	1144	1168	1550	1392	1336	1159	1125	1099	1150	1090	1080	1451	1632	1456	1127	1167	1323	1671	1355	1375	1743	1575	1392	1095	1089	1105	1049	1786	1537	1515	784	1333	1456	988	1025	869	
142	146	0	43	100	158	58	66	202	217	106	130	69	123	61	98	122	68	50	93	138	63	72	52	47	73	142	178	51	70	35	55	60	56	43	69	78	37	72	70	31	63	125	55	244	45	60	37	42	43	52	36	49	32	39	70	43	60	52	50	28	13	25	20	36	25	59	38	16	21	29	26	34	15	15	36	34	27	30	12	18	43	38	12	22	32	25	20	19	30	38	48	38	120	15	79	89	102	74	26	
49	33	4	1094	741	1036	377	1094	1125	521	924	725	685	883	640	639	841	651	661	786	819	892	868	730	851	741	699	832	487	517	690	754	944	957	772	942	1095	723	815	678	798	554	699	692	841	631	703	723	824	725	611	590	693	665	741	618	559	693	629	610	737	514	717	569	820	807	791	770	648	620	646	575	516	595	705	1013	834	1017	643	621	659	886	607	613	735	893	583	585	592	865	713	666	925	465	401	788	655	910	901	605	
142	146	0	43	100	158	58	66	202	217	106	130	69	123	61	98	122	68	50	93	138	63	72	52	47	73	142	178	51	70	35	54	60	56	43	69	78	37	72	70	31	63	125	55	244	45	60	37	42	43	52	36	49	32	39	70	43	60	52	50	28	13	25	20	36	25	59	38	16	21	29	26	34	15	15	36	34	27	30	12	18	43	38	12	22	32	25	20	19	30	38	48	38	120	15	79	89	102	74	26	
459	471	994	862	1159	1306	1565	1340	1173	1262	1467	1345	1246	994	1299	963	1337	781	1089	1321	843	1345	1560	1218	1100	1186	1659	1690	1262	1213	1275	1191	1595	987	1685	1789	1427	1040	1113	1042	971	1383	1376	1253	1415	1124	1237	1040	1432	1532	1135	1374	1255	1203	1220	1312	1398	1247	1319	1140	1435	1573	1258	1111	1144	1168	1550	1392	1336	1159	1125	1099	1150	1090	1080	1451	1632	1456	1127	1166	1323	1671	1355	1375	1743	1575	1392	1095	1089	1105	1049	1786	1537	1515	784	1333	1456	988	1025	869	
7	7	13	10	17	13	19	23	19	19	24	14	13	16	14	7	21	14	10	20	10	24	12	15	11	16	30	15	17	9	17	13	20	13	17	15	12	11	24	10	11	15	15	19	13	10	8	16	20	16	16	16	14	19	13	17	17	11	18	8	16	17	16	8	13	9	13	16	13	5	8	12	11	12	20	20	21	9	15	10	8	21	12	5	21	26	13	15	16	8	12	17	11	29	8	11	10	8	11	10	
594	610	981	895	1242	1451	1604	1383	1356	1460	1549	1461	1302	1101	1346	1054	1438	835	1129	1394	971	1384	1620	1255	1136	1243	1771	1853	1296	1274	1293	1232	1635	1030	1711	1843	1493	1066	1161	1102	991	1431	1486	1289	1646	1159	1289	1061	1454	1559	1171	1394	1290	1216	1246	1365	1424	1296	1353	1182	1447	1569	1267	1123	1167	1184	1596	1414	1339	1175	1146	1113	1173	1093	1075	1467	1645	1474	1142	1168	1333	1693	1381	1382	1744	1581	1404	1100	1092	1127	1075	1817	1564	1606	791	1401	1535	1082	1088	885	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	4	8	7	8	11	14	15	7	7	12	5	14	7	12	11	15	8	10	14	1	12	14	8	13	11	12	11	10	13	12	14	15	8	10	11	12	6	19	9	6	16	9	10	15	13	9	2	9	13	2	13	10	7	4	12	10	7	9	7	11	12	10	5	11	7	7	11	8	15	4	7	6	10	3	9	11	6	4	9	7	16	10	6	13	15	7	8	7	8	5	10	12	6	3	11	7	4	5	2	
45	74	109	119	161	170	240	193	146	220	185	168	171	146	200	118	161	94	128	177	114	181	205	149	153	166	203	190	160	145	158	178	190	121	217	255	207	127	132	139	152	182	143	138	206	150	165	151	189	170	121	167	164	152	141	173	178	186	171	149	173	189	171	149	154	125	192	188	201	183	111	159	162	156	153	184	197	181	26	150	156	248	201	181	256	200	179	117	155	138	147	263	227	151	123	181	177	135	125	111	
37	38	83	57	87	84	78	90	104	81	94	114	70	78	67	50	88	51	62	84	81	83	104	77	93	70	116	104	99	87	78	89	92	79	99	112	99	83	86	70	67	101	93	64	117	75	97	71	84	98	73	95	67	76	92	77	79	75	81	53	78	126	100	75	74	68	111	95	77	58	50	76	72	88	83	89	101	83	13	69	71	101	52	72	106	95	85	65	79	83	82	92	101	96	63	109	102	69	60	59	
496	478	740	665	908	1098	1186	1022	1043	1067	1178	1101	962	820	991	835	1107	646	858	1051	744	1044	1214	969	827	909	1352	1479	966	968	973	888	1257	791	1285	1383	1119	799	877	851	730	1056	1205	1015	1229	866	967	793	1104	1209	905	1054	995	924	954	1042	1097	958	1022	908	1116	1170	942	854	875	907	1210	1069	1005	866	949	817	888	792	795	1120	1272	1125	1077	875	1028	1257	1030	1039	1276	1206	1074	863	803	853	807	1354	1161	1281	581	1074	1211	846	877	686	
