"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	"УИК №1547"	"УИК №1548"	"УИК №1549"	"УИК №1550"	"УИК №1551"	"УИК №1552"	"УИК №1553"	"УИК №1554"	"УИК №1555"	"УИК №1556"	
1375	1324	1323	1307	1442	245	290	625	218	628	167	198	304	666	471	387	287	701	298	
1400	1300	1400	1300	1400	265	280	630	200	600	170	200	350	605	450	380	280	700	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
906	815	962	848	859	140	169	394	140	402	35	114	159	413	234	233	177	470	155	
30	49	23	26	88	10	12	54	9	72	83	21	30	86	82	23	25	36	39	
464	436	415	426	453	115	99	182	51	126	52	65	161	106	134	124	78	194	106	
30	49	23	26	88	10	12	54	9	72	83	21	30	86	82	23	25	36	39	
906	815	962	848	859	140	169	394	140	402	35	114	159	413	231	233	177	470	155	
12	7	5	13	9	1	3	4	0	20	0	0	0	2	3	1	0	5	3	
924	857	980	861	938	149	178	444	149	454	118	135	189	497	310	255	202	501	191	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	10	5	7	7	0	4	2	0	3	0	3	5	2	1	1	0	2	1	
174	167	148	162	151	17	38	53	9	31	9	24	16	55	29	30	19	75	22	
92	73	56	75	82	16	15	38	9	45	13	4	10	33	23	21	21	37	12	
637	588	745	587	670	116	120	345	126	356	92	104	152	402	253	196	154	378	155	
7	4	9	13	12	0	0	4	0	3	3	0	1	0	2	3	4	4	0	
1	7	10	6	7	0	1	2	3	8	1	0	2	4	1	0	3	5	0	
3	3	3	5	5	0	0	0	1	5	0	0	1	0	1	3	0	0	0	
1	5	4	6	4	0	0	0	1	3	0	0	2	1	0	1	1	0	1	
