"УИК №1779"	"УИК №1780"	"УИК №1781"	"УИК №1782"	"УИК №1783"	"УИК №1784"	"УИК №1785"	"УИК №1786"	"УИК №1787"	"УИК №1788"	"УИК №1789"	"УИК №1790"	"УИК №1791"	"УИК №1792"	"УИК №1793"	"УИК №1794"	"УИК №1795"	"УИК №1796"	"УИК №1797"	"УИК №1798"	"УИК №1799"	"УИК №1800"	"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	
2636	2023	2587	256	974	302	161	835	483	99	538	204	434	463	252	302	350	110	109	351	132	339	537	279	206	406	624	
2200	1700	2200	230	900	300	150	750	450	90	500	200	420	450	250	300	350	100	100	400	120	350	500	250	200	410	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1551	1062	1432	159	487	218	96	533	337	70	329	99	278	276	166	208	241	72	62	234	82	199	330	171	133	233	332	
107	52	34	14	91	31	17	58	30	5	44	26	31	33	14	17	8	0	6	20	16	21	40	20	19	55	42	
542	586	734	57	322	51	37	159	83	15	127	75	111	141	70	75	101	28	32	146	22	130	130	59	48	122	226	
107	52	34	14	91	31	17	58	30	5	44	26	31	33	14	17	8	0	6	20	16	21	40	20	19	55	42	
1551	1062	1432	159	487	218	96	533	337	70	329	99	278	276	166	208	241	72	62	234	82	199	330	171	133	233	331	
10	25	17	4	4	1	0	8	3	0	5	2	0	4	2	4	2	0	0	2	3	2	2	2	1	2	5	
1648	1089	1449	169	574	248	113	583	364	75	368	123	309	305	178	221	247	72	68	252	95	218	368	189	151	286	368	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	7	13	0	2	2	1	3	0	0	4	1	2	1	0	2	0	0	0	2	0	2	1	2	0	1	1	
380	210	352	23	77	41	14	81	71	12	22	14	24	68	43	65	36	10	14	46	5	51	73	53	23	36	71	
96	78	105	16	48	31	12	52	27	3	22	16	19	30	9	10	20	4	3	23	14	24	14	24	21	26	40	
1117	764	949	123	435	174	80	429	259	60	309	88	260	196	117	137	188	54	49	175	68	136	269	103	106	219	249	
8	7	9	3	3	0	3	5	1	0	3	1	1	5	3	4	2	2	2	2	7	3	3	3	1	0	3	
19	14	14	3	4	0	2	4	5	0	7	2	1	3	3	0	0	0	0	1	1	2	6	2	0	4	3	
15	5	7	1	4	0	0	6	1	0	0	1	2	1	1	2	1	0	0	2	0	0	1	2	0	0	1	
2	4	0	0	1	0	1	3	0	0	1	0	0	1	2	1	0	2	0	1	0	0	1	0	0	0	0	
