"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	
418	35	11	161	280	805	1643	275	261	156	143	495	250	155	690	111	39	534	517	405	430	52	161	24	699	524	221	445	10	569	51	660	752	690	464	475	184	376	203	74	255	479	230	124	
531	39	11	208	280	855	1571	275	240	130	143	501	247	185	687	111	32	525	505	390	400	52	155	23	616	475	230	430	10	539	54	631	735	701	456	452	283	376	203	74	236	468	232	103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
393	34	11	152	262	801	1079	240	219	122	136	381	207	155	615	102	32	450	421	197	392	52	145	23	585	426	205	397	10	470	51	540	673	657	376	426	153	356	203	59	230	419	217	103	
25	1	0	9	0	4	324	35	10	8	0	80	27	0	20	0	0	62	55	193	6	0	6	0	12	49	16	31	0	39	0	91	38	13	50	9	31	0	0	15	0	27	12	0	
113	4	0	47	18	50	168	0	11	0	7	40	13	30	52	9	0	13	29	0	2	0	4	0	19	0	9	2	0	30	3	0	24	31	30	17	99	20	0	0	6	22	3	0	
25	1	0	9	0	4	324	35	10	8	0	80	27	0	20	0	0	62	55	193	6	0	6	0	12	49	16	31	0	39	0	91	38	13	50	9	31	0	0	15	0	27	12	0	
393	34	11	152	262	801	1079	240	219	122	136	381	207	155	615	102	32	450	421	197	392	52	145	23	585	426	205	397	10	470	51	540	673	657	376	426	153	356	203	59	230	419	217	103	
0	0	0	0	0	0	10	1	0	0	0	0	0	0	6	0	0	8	0	0	0	0	0	0	0	0	3	0	0	2	0	1	5	0	0	0	0	0	1	3	0	0	0	0	
418	35	11	161	262	805	1393	274	229	130	136	461	234	155	629	102	32	504	476	390	398	52	151	23	597	475	218	428	10	507	51	630	706	670	426	435	184	356	202	71	230	446	229	103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	
24	2	1	10	18	3	45	18	4	8	3	5	3	9	28	3	6	15	20	12	4	9	5	2	15	24	3	11	0	39	2	101	29	17	15	15	13	25	6	2	17	15	5	1	
0	0	0	0	0	0	2	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	5	1	0	0	2	1	0	0	0	0	0	0	0	
394	33	10	151	242	801	1341	256	222	122	131	452	227	145	601	97	25	489	456	378	394	43	146	21	578	451	215	417	10	461	49	516	672	649	408	412	168	307	196	68	213	431	224	102	
0	0	0	0	2	1	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	5	3	3	1	4	2	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	24	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
