"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №2829"	"УИК №2830"	
2307	2340	2070	784	1839	2751	2637	2343	1630	2030	1570	1513	1893	1899	1709	1863	1859	1394	1183	1633	1368	134	2166	817	768	2130	2081	1338	2099	1709	1939	2025	1589	2133	1478	2046	1670	1640	1579	1914	2157	1914	2026	1934	1882	2154	1598	2227	1727	2373	2491	1418	1398	2585	189	2121	2617	1455	504	2771	1414	2076	
2000	2000	1700	700	1600	2400	2100	2000	1400	1800	1400	1300	1600	1600	1400	1600	1600	1200	1000	1400	1100	300	1900	700	600	1900	1800	1400	1800	1400	1700	1700	1400	1800	1200	1700	1400	1400	1300	1700	2000	1600	1700	1700	1600	2000	1400	2000	1500	2000	2100	1200	1200	2100	300	2000	2200	1300	400	2400	1200	1700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1899	1607	1320	668	1118	1624	1483	1459	1029	1338	1132	1209	1542	1557	1250	1274	1155	980	744	1358	1049	0	1339	677	573	1819	1610	1290	1311	1002	1565	1532	975	1530	1107	1276	1237	1114	1247	1581	1399	1505	1632	1623	1487	1541	1176	1878	1436	1943	2025	1017	1169	1997	0	1811	2175	1115	379	2172	1062	1678	
51	78	83	22	54	86	43	88	20	17	30	17	41	25	52	72	48	33	52	26	32	134	75	18	14	25	58	48	70	66	84	73	43	237	90	60	73	60	38	54	32	45	54	40	27	31	15	23	35	22	17	46	23	21	189	12	18	61	19	3	15	10	
50	315	297	10	428	690	574	453	351	445	238	74	17	18	98	254	397	187	204	16	19	166	486	5	13	56	132	62	419	332	51	95	382	33	3	364	90	226	15	65	569	50	14	37	86	428	209	99	29	35	58	137	8	82	111	177	7	124	2	225	123	12	
51	78	83	22	54	86	43	88	20	17	30	17	41	25	52	72	48	33	52	26	32	134	75	18	14	25	58	48	70	66	84	73	43	237	90	60	73	60	38	54	32	45	54	40	27	31	15	23	35	22	17	46	23	21	189	12	18	61	19	3	15	10	
1899	1607	1319	668	1118	1624	1482	1459	1029	1338	1132	1209	1542	1557	1250	1273	1155	980	744	1358	1049	0	1339	677	573	1819	1610	1290	1311	1002	1565	1532	975	1530	1107	1276	1237	1114	1247	1581	1399	1505	1632	1623	1487	1541	1176	1878	1436	1943	2025	1017	1169	1997	0	1811	2175	1115	379	2172	1062	1678	
34	0	34	0	25	49	33	45	0	0	8	5	0	0	0	23	22	6	4	0	0	0	11	6	1	0	3	0	26	26	0	18	5	0	0	11	1	0	16	17	0	0	4	0	3	0	0	0	13	0	0	0	8	13	0	0	0	3	0	0	14	0	
1916	1685	1368	690	1147	1661	1492	1502	1049	1355	1154	1221	1583	1582	1302	1322	1181	1007	792	1384	1081	134	1403	689	586	1844	1665	1338	1355	1042	1649	1587	1013	1767	1197	1325	1309	1174	1269	1618	1431	1550	1682	1663	1511	1572	1191	1901	1458	1965	2042	1063	1184	2005	189	1823	2193	1173	398	2175	1063	1688	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

17	17	9	3	13	14	11	23	9	8	8	10	15	14	12	9	12	5	10	5	7	0	5	7	12	14	12	13	15	4	15	9	2	0	12	8	6	9	7	24	10	4	13	14	14	15	11	29	11	30	12	6	0	29	0	17	22	4	6	15	8	16	
