"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	
1509	1633	1700	1156	1363	1510	723	127	589	732	200	431	126	210	46	410	663	1613	780	1426	373	130	89	398	85	1024	94	635	184	114	93	346	209	446	394	204	216	1593	1668	
1550	1650	1750	1200	1350	1600	750	130	640	770	220	490	115	240	58	440	710	1650	800	1480	390	140	85	400	80	1050	80	640	190	100	90	350	230	460	440	230	215	1600	1635	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
743	821	787	563	670	688	365	93	338	350	130	259	77	165	35	298	364	720	322	655	211	86	55	231	50	515	61	357	92	52	39	174	148	247	249	102	150	772	1533	
161	136	216	95	171	183	74	4	103	160	34	98	21	26	6	65	137	153	101	232	60	18	12	56	22	168	16	159	41	31	32	74	28	91	78	43	12	178	100	
646	693	747	542	509	729	311	33	199	260	56	133	17	49	17	77	209	777	377	593	119	36	18	113	8	367	3	124	57	17	19	102	54	122	113	85	53	650	2	
161	136	216	95	171	183	74	4	103	160	34	98	21	26	6	65	137	153	101	232	60	18	12	56	22	168	16	159	41	31	32	74	28	91	78	43	12	178	100	
743	821	787	563	670	688	365	93	338	350	130	259	77	165	35	298	364	720	322	655	211	86	55	231	50	515	61	357	92	52	39	174	148	247	249	102	150	772	1533	
9	13	15	1	6	7	3	0	8	5	1	9	1	1	0	4	8	5	5	5	3	0	0	0	0	10	0	2	1	0	0	1	1	3	3	0	2	9	7	
895	944	988	657	835	864	436	97	433	505	163	348	97	190	41	359	493	868	418	882	268	104	67	287	72	673	77	514	132	83	71	247	175	335	324	145	160	941	1626	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	0	7	5	3	1	1	2	1	2	3	1	0	0	2	2	7	7	10	1	0	2	0	0	7	0	2	1	0	0	1	0	1	5	1	0	8	3	
167	176	175	143	106	168	62	8	54	68	10	40	7	10	4	67	73	119	63	139	40	11	5	34	4	78	9	63	14	12	19	18	9	27	34	10	19	169	100	
55	60	47	34	37	52	37	6	23	32	14	23	1	11	3	25	39	76	21	61	14	10	4	12	2	44	2	36	6	3	5	7	11	20	17	8	13	48	79	
645	691	752	461	668	630	330	81	349	399	135	279	86	165	32	259	373	652	321	658	209	83	56	236	66	533	65	410	110	66	42	215	152	286	261	124	124	688	1405	
5	3	4	5	5	1	1	0	1	4	2	0	1	2	2	1	3	6	0	6	2	0	0	3	0	5	0	0	0	0	1	1	2	1	3	1	1	10	19	
13	5	5	5	8	6	2	0	0	1	0	2	0	2	0	3	2	2	4	5	2	0	0	2	0	2	0	1	0	2	3	3	1	0	3	1	2	10	5	
4	3	4	1	5	4	3	1	2	0	0	0	0	0	0	0	1	6	1	1	0	0	0	0	0	2	1	1	0	0	1	1	0	0	1	0	1	4	9	
3	1	1	1	1	0	0	0	2	0	0	1	1	0	0	2	0	0	1	2	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	4	6	
