"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №994"	"УИК №995"	"УИК №996"	
1312	1191	1321	1357	1156	1168	1158	973	1398	1033	939	1032	1064	1020	1154	476	498	464	893	662	913	975	385	310	395	176	196	299	291	293	690	489	220	768	388	553	170	600	216	762	401	166	470	579	676	261	185	546	573	243	608	1229	472	537	246	476	320	177	773	513	347	337	
1320	1200	1310	1340	1150	1180	1170	1000	1330	1050	960	1030	1080	1040	1160	476	506	468	900	672	907	981	392	339	402	180	200	306	301	302	693	496	225	781	392	567	174	604	223	769	408	165	476	585	684	263	188	552	580	249	606	1250	474	554	246	486	324	177	784	522	350	353	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1151	1023	1174	1128	1032	1038	1007	853	1124	923	842	934	965	890	997	448	474	443	849	635	825	836	361	288	365	165	184	265	263	276	639	460	197	709	347	477	160	568	209	720	389	164	463	564	654	245	150	516	551	228	568	996	374	435	222	445	296	172	724	461	330	289	
56	51	32	96	32	60	64	45	137	27	32	47	35	62	80	21	16	16	35	16	72	100	24	22	29	10	12	29	23	17	45	27	15	53	35	49	7	20	3	38	10	0	5	11	9	8	30	26	20	13	38	123	86	83	23	24	23	4	28	46	13	39	
113	126	104	116	86	82	99	102	69	100	86	49	80	88	83	7	16	9	16	21	10	45	7	29	8	5	4	12	15	9	9	9	13	19	10	41	7	16	11	11	9	1	8	10	21	10	8	10	9	8	0	131	14	36	1	17	5	1	32	15	7	25	
56	51	32	96	32	60	64	45	137	27	32	47	35	62	80	21	16	16	35	16	72	100	24	22	29	10	12	29	23	17	45	27	15	53	35	49	7	20	3	38	10	0	5	11	9	8	30	26	20	13	38	123	86	83	23	24	23	4	28	46	13	39	
1151	1023	1174	1128	1032	1038	1007	853	1124	923	842	934	965	890	997	448	474	443	849	635	825	836	361	288	365	165	184	265	263	276	639	460	197	709	347	477	160	568	209	720	389	164	463	564	654	245	150	516	551	228	568	993	374	435	222	445	296	172	724	461	330	289	
4	1	2	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
1203	1073	1204	1220	1062	1098	1071	898	1261	950	874	979	1000	952	1077	469	490	459	881	650	897	936	385	310	394	175	196	294	286	293	684	487	212	762	382	526	167	588	212	758	399	164	468	575	663	253	180	542	571	241	606	1115	460	518	245	469	319	176	752	507	343	328	
