"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	
124	96	234	81	101	222	370	238	194	170	85	100	992	1310	1276	
155	106	285	84	111	257	399	239	203	170	106	111	1038	1362	1370	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
82	66	170	51	66	141	238	166	135	131	49	62	576	839	844	
23	14	41	14	19	40	74	38	30	29	16	17	112	151	119	
50	26	74	19	26	76	87	35	38	10	41	32	350	372	407	
23	14	41	14	19	40	74	38	30	29	16	17	112	151	119	
82	66	170	51	66	141	238	166	135	131	49	62	576	839	844	
0	0	2	1	1	0	3	0	1	0	0	0	7	9	6	
105	80	209	64	84	181	309	204	164	160	65	79	681	981	957	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	0	2	0	2	2	0	1	0	1	7	1	4	
6	8	47	9	25	10	71	34	21	16	5	10	113	174	151	
9	11	18	11	4	21	25	18	12	10	4	8	62	73	62	
88	60	139	44	52	145	201	146	129	130	54	60	484	719	715	
1	0	3	0	1	3	1	1	0	1	0	0	6	7	15	
1	0	1	0	0	2	2	3	2	1	0	0	4	1	2	
0	0	0	0	0	0	5	0	0	1	2	0	3	3	3	
0	1	0	0	0	0	2	0	0	0	0	0	2	3	5	
