"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2147"	"УИК №2148"	"УИК №2149"	"УИК №2150"	
2884	1411	780	1032	1003	1708	1178	1242	1537	890	275	559	147	536	906	155	137	192	142	94	193	146	221	951	159	67	234	601	103	148	560	143	202	366	110	84	307	202	780	181	82	557	107	68	95	37	
2534	1209	693	900	896	1508	1067	1089	1348	794	239	500	133	504	876	143	122	208	116	84	163	125	194	916	134	59	189	521	91	127	521	134	193	344	94	78	279	192	698	161	72	470	96	61	91	35	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1511	651	313	505	516	875	565	638	648	516	127	379	87	392	552	129	112	175	77	61	117	110	136	576	119	42	142	394	87	102	328	66	114	240	87	64	247	161	435	114	57	359	91	57	71	29	
94	58	14	29	36	43	34	40	32	40	63	15	3	45	77	5	9	17	11	19	23	4	35	16	10	0	27	34	4	5	22	30	8	23	3	0	16	7	89	3	8	25	0	2	5	0	
929	500	366	366	344	590	468	411	668	238	49	106	43	67	247	9	1	16	28	4	23	11	23	324	5	17	20	93	0	20	171	38	71	81	4	14	16	24	174	44	7	86	5	2	15	6	
94	58	14	29	36	43	34	40	32	40	63	15	3	45	77	5	9	17	11	19	23	4	35	16	10	0	27	34	4	5	22	30	8	23	3	0	16	7	89	3	8	25	0	2	5	0	
1511	651	313	505	516	875	565	638	648	516	127	379	87	392	552	129	112	175	77	61	117	110	136	576	119	42	142	394	87	102	328	66	114	240	87	64	247	161	435	114	57	359	91	57	71	29	
22	10	4	5	5	11	4	5	8	6	0	1	2	5	2	0	0	2	1	0	2	1	3	8	3	1	3	6	1	2	7	0	1	0	0	0	3	3	5	1	2	6	1	0	0	0	
1583	699	323	529	547	907	595	673	672	550	190	393	88	432	627	134	121	190	87	80	138	113	168	584	126	41	166	422	90	105	343	96	121	263	90	64	260	165	519	116	63	378	90	59	76	29	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	3	2	0	6	5	3	4	7	1	1	0	0	1	6	3	1	0	0	1	0	0	1	2	1	1	1	6	2	0	1	2	0	1	0	0	0	0	2	0	1	4	0	0	0	0	
332	114	41	99	114	154	95	114	111	123	8	35	13	59	48	9	13	10	9	9	9	22	8	126	28	3	18	64	16	15	65	7	11	47	7	2	20	5	48	13	6	43	4	3	3	2	
141	86	44	43	47	90	89	86	53	70	18	32	10	24	81	20	11	26	5	8	11	9	10	58	10	8	15	46	11	20	37	13	15	16	14	4	22	22	31	13	4	23	8	4	4	3	
1071	484	230	376	362	631	396	452	484	346	160	322	64	341	484	100	95	152	73	62	118	80	146	394	85	29	129	300	61	67	238	71	90	198	66	58	211	138	431	86	50	297	77	51	68	23	
14	5	3	2	8	4	2	3	3	1	0	2	0	3	4	0	1	2	0	0	0	0	1	3	0	0	2	1	0	1	2	1	1	0	0	0	1	0	1	0	1	3	0	0	0	1	
10	3	1	4	5	12	6	10	11	5	0	0	0	4	3	2	0	0	0	0	0	2	1	1	0	0	1	1	0	1	0	0	2	1	2	0	5	0	3	3	1	3	1	1	1	0	
3	2	2	3	1	8	2	3	3	3	3	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	2	0	1	0	1	0	1	0	0	4	0	0	0	0	
7	2	0	2	4	3	2	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	2	1	0	1	0	0	0	0	
