"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	
1263	1230	267	95	437	1078	
1754	1571	365	132	597	1108	
0	143	0	29	0	0	
1006	950	181	36	344	767	
94	65	7	23	51	80	
654	413	177	44	202	261	
94	208	7	52	51	80	
1006	950	181	36	344	767	
17	12	2	3	3	19	
1083	1146	186	85	392	828	
0	0	0	0	0	0	
0	0	0	0	0	0	

14	7	0	0	1	3	
112	87	27	6	43	108	
93	90	16	8	38	99	
831	937	139	70	304	606	
11	13	1	0	1	5	
5	5	2	1	2	0	
7	7	0	0	1	4	
10	0	1	0	2	3	
