"УИК №2928"	"УИК №2929"	"УИК №2930"	"УИК №2931"	"УИК №2932"	"УИК №2933"	"УИК №2934"	"УИК №2935"	"УИК №2936"	"УИК №2937"	"УИК №2938"	"УИК №2939"	"УИК №2940"	"УИК №2941"	"УИК №2942"	"УИК №2943"	"УИК №2944"	"УИК №2945"	"УИК №2946"	"УИК №2947"	"УИК №2948"	"УИК №2949"	"УИК №2950"	"УИК №2951"	"УИК №2952"	"УИК №2953"	"УИК №2954"	"УИК №2955"	"УИК №2956"	"УИК №2957"	"УИК №2958"	"УИК №2959"	"УИК №2960"	"УИК №2961"	"УИК №2962"	"УИК №2963"	"УИК №2964"	"УИК №2965"	
671	354	354	800	1435	447	162	430	865	627	696	677	793	657	848	300	907	257	509	238	504	618	2684	2331	1086	246	128	881	1352	179	1087	171	1888	2263	1754	1666	1310	1175	
600	300	300	700	1300	300	150	330	800	600	650	600	750	580	800	200	750	200	400	220	450	600	2600	2400	1100	200	120	750	1100	150	1000	150	1900	2300	1600	1550	1400	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
352	186	240	409	771	215	56	275	447	351	398	362	353	529	480	143	508	170	282	160	215	351	1613	1349	629	133	88	519	815	74	553	120	1046	1218	959	907	740	735	
23	14	5	25	42	44	0	19	59	27	14	24	27	8	17	9	28	5	8	2	24	15	24	14	26	9	15	19	33	24	48	10	18	21	23	19	15	7	
225	100	55	266	487	41	94	36	294	222	238	214	370	43	303	48	214	25	110	58	211	234	963	1037	445	58	17	212	252	52	399	20	836	1061	618	624	645	558	
23	14	5	25	42	44	0	19	59	27	14	24	27	8	17	9	28	5	8	2	24	15	24	14	26	9	15	19	33	24	48	10	18	21	23	19	15	7	
352	186	240	409	771	214	56	275	447	351	398	362	353	529	480	143	508	170	282	160	215	351	1613	1349	629	133	88	519	815	74	553	120	1046	1218	959	907	740	735	
6	0	1	6	7	1	0	3	10	10	7	8	1	9	6	0	7	2	8	2	1	3	15	23	8	2	0	12	16	0	5	1	8	29	13	19	14	8	
369	200	244	428	806	257	56	291	496	368	405	378	379	528	491	152	529	173	282	160	238	363	1622	1340	647	140	103	526	832	98	596	129	1056	1210	969	907	741	734	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	0	2	5	1	0	0	3	3	4	3	0	3	0	0	0	0	1	0	2	1	16	8	7	1	0	4	5	0	0	2	7	11	1	5	2	4	
82	26	37	50	122	45	13	40	72	57	80	70	61	58	79	15	81	25	48	34	38	48	282	227	171	15	18	108	135	22	103	27	147	145	154	155	115	98	
25	9	17	21	50	13	4	22	19	24	20	8	26	27	30	5	35	4	27	8	12	22	96	82	47	11	3	30	41	6	44	9	48	94	57	45	53	45	
248	154	183	337	611	185	36	216	392	267	285	274	279	421	365	128	384	138	196	109	177	283	1157	967	393	111	78	364	627	68	435	87	800	910	732	683	524	559	
3	2	2	5	4	2	1	3	2	7	7	13	3	8	5	0	11	4	3	1	3	4	29	29	8	1	2	8	7	1	4	1	18	16	16	6	21	6	
2	1	1	3	6	1	0	1	5	2	6	2	3	5	4	2	4	1	2	1	1	1	12	7	3	0	0	1	4	0	1	2	7	5	1	5	5	4	
2	5	1	2	2	5	0	4	2	4	2	6	4	0	4	0	9	0	4	4	2	2	15	7	4	1	2	4	3	0	5	1	12	12	5	5	8	10	
1	2	3	8	6	5	2	5	1	4	1	2	3	6	4	2	5	1	1	3	3	2	15	13	14	0	0	7	10	1	4	0	17	17	3	3	13	8	
