"УИК №2401"	"УИК №2402"	"УИК №2403"	"УИК №2404"	"УИК №2405"	"УИК №2406"	"УИК №2407"	"УИК №2408"	"УИК №2409"	"УИК №2410"	"УИК №2411"	"УИК №2412"	"УИК №2413"	"УИК №2414"	"УИК №2415"	"УИК №2416"	"УИК №2417"	"УИК №2418"	"УИК №2419"	"УИК №2420"	"УИК №2421"	"УИК №2422"	"УИК №2423"	"УИК №2424"	"УИК №2425"	"УИК №2426"	"УИК №2427"	"УИК №2428"	"УИК №2429"	"УИК №2430"	"УИК №2431"	"УИК №2432"	"УИК №2433"	"УИК №2434"	"УИК №2435"	"УИК №2436"	"УИК №2437"	"УИК №2438"	"УИК №2439"	"УИК №2440"	"УИК №2441"	"УИК №2442"	"УИК №2443"	"УИК №2444"	"УИК №2445"	"УИК №2446"	"УИК №2447"	"УИК №2448"	"УИК №2449"	"УИК №2450"	"УИК №2451"	"УИК №2452"	"УИК №2453"	"УИК №2454"	"УИК №2455"	"УИК №2456"	"УИК №2457"	"УИК №2458"	"УИК №2459"	"УИК №2460"	"УИК №2461"	"УИК №2462"	"УИК №2463"	"УИК №2464"	"УИК №2465"	"УИК №2466"	"УИК №2467"	"УИК №2468"	"УИК №2469"	"УИК №2470"	"УИК №2471"	
1301	1306	1273	1174	2057	1940	1577	2123	2750	2307	1507	1908	2065	1579	1608	2390	2223	2486	2215	1828	1526	1661	1628	1858	1597	1674	2312	2009	1786	1808	2000	1663	1729	2333	1987	1961	1892	1903	1665	2163	2011	1746	2193	2176	1511	1232	1632	1708	1768	2122	2219	1997	1864	1592	2032	1713	1925	1753	2268	2286	1908	2552	3264	2385	2214	2352	2482	2712	180	222	199	
1100	1200	1100	1100	1800	1700	1400	1900	2400	2000	1300	1700	1800	1400	1400	2200	2000	2100	1900	1600	1300	1400	1500	1600	1400	1500	2000	1800	1600	1600	1800	1500	1500	2000	1700	1800	1700	1700	1500	1900	1800	1500	1900	1900	1400	1100	1500	1500	1600	1900	2000	1800	1700	1400	1800	1500	1700	1600	1900	1800	1500	2200	2500	2000	1900	2000	2200	2300	200	250	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
780	712	809	667	1260	1199	929	1323	1559	1463	938	1134	1294	975	1035	1787	1443	1518	1319	1059	960	875	1001	1097	917	950	1344	1106	1144	1084	1202	1056	1023	1477	1101	1131	1041	1146	919	1307	1247	1043	1382	1472	942	772	1038	1080	1074	1305	1354	1175	1082	938	1240	1036	1199	1094	1514	1505	1402	1802	1966	1478	1264	1238	1514	1550	166	93	130	
41	30	39	42	56	51	50	41	44	62	46	36	52	54	53	11	50	44	70	50	36	46	47	59	34	37	53	37	56	79	50	46	34	70	69	70	58	49	46	80	36	45	63	47	47	23	61	31	87	64	73	38	40	37	51	53	27	35	49	29	14	18	14	55	66	105	33	77	14	118	65	
279	458	252	391	484	450	421	536	797	475	316	530	454	371	312	402	507	535	511	491	304	479	452	444	449	513	603	657	400	437	548	398	443	453	530	599	601	505	535	513	517	412	455	381	411	305	401	389	439	531	573	587	578	425	509	411	474	471	337	266	84	380	520	467	570	657	653	673	20	39	55	
41	30	39	42	56	51	50	41	44	62	46	36	52	54	53	11	50	44	70	50	36	46	47	59	34	37	53	37	56	79	50	46	34	70	69	70	58	49	46	80	36	45	63	47	47	23	61	31	87	64	73	38	40	37	51	53	27	35	49	29	14	18	14	55	66	105	33	77	14	118	65	
780	712	809	667	1260	1199	929	1323	1559	1462	938	1134	1294	974	1035	1787	1443	1518	1319	1059	960	875	1000	1097	917	950	1344	1106	1144	1084	1201	1055	1023	1477	1101	1131	1041	1146	918	1307	1247	1043	1382	1472	942	771	1038	1080	1074	1305	1354	1175	1082	938	1240	1036	1199	1094	1514	1476	1401	1802	1966	1478	1264	1238	1514	1550	166	93	130	
11	12	9	14	17	17	12	18	6	19	18	17	16	13	20	25	23	17	13	14	5	12	9	16	9	13	17	22	19	12	19	17	11	12	12	21	8	16	5	18	8	10	19	13	5	11	9	25	7	20	24	17	13	18	16	10	8	10	16	11	17	15	23	27	16	18	11	20	1	0	4	
810	730	839	695	1299	1233	967	1346	1597	1505	966	1153	1330	1015	1068	1773	1470	1545	1376	1095	991	909	1038	1140	942	974	1380	1121	1181	1151	1232	1084	1046	1535	1158	1180	1091	1179	959	1369	1275	1078	1426	1506	984	783	1090	1086	1154	1349	1403	1196	1109	957	1275	1079	1218	1119	1547	1494	1398	1805	1957	1506	1314	1325	1536	1607	179	211	191	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	7	4	2	14	10	11	12	11	17	11	8	5	15	19	8	15	19	17	8	15	6	9	8	10	6	11	11	13	9	9	11	6	15	10	15	6	12	13	17	13	7	9	16	15	8	12	13	9	12	10	12	7	11	11	10	8	9	17	5	9	10	16	14	13	10	11	20	0	1	1	
107	127	123	103	177	200	124	183	236	236	151	162	190	129	150	258	232	222	215	147	128	109	133	156	109	127	206	147	143	159	174	134	139	218	159	159	120	169	133	172	148	123	198	194	122	90	128	149	141	164	199	157	142	135	154	146	158	161	186	212	237	285	270	163	130	132	176	221	7	20	24	
41	42	47	38	54	79	49	64	92	74	50	56	52	49	78	132	81	83	81	84	81	57	83	69	76	63	101	76	70	75	67	77	71	90	77	95	102	78	53	83	78	82	104	103	61	44	74	68	89	89	83	107	102	68	91	76	75	82	119	110	83	92	136	100	101	91	125	98	21	15	10	
622	521	606	508	967	861	725	994	1161	1073	689	862	1002	761	750	1286	1079	1133	997	812	726	690	758	855	701	735	1009	844	898	855	926	811	772	1146	866	872	821	876	716	1027	979	838	1046	1111	745	593	838	813	857	1023	1026	858	813	701	981	784	933	820	1157	1106	995	1308	1439	1169	1019	1038	1181	1206	146	166	151	
15	9	23	17	34	35	19	33	48	48	36	23	32	30	23	45	24	35	29	14	15	14	28	12	16	19	13	17	21	24	27	15	15	23	20	10	17	15	19	31	20	9	28	24	20	26	14	19	30	24	33	20	15	16	16	30	17	18	29	16	37	59	42	22	18	23	19	25	3	6	4	
5	9	11	4	11	13	9	10	10	10	6	8	12	9	12	10	11	9	13	17	10	14	10	12	14	5	8	8	5	4	10	5	12	15	4	9	9	10	9	13	10	6	9	12	7	8	5	7	11	13	18	19	7	8	7	11	9	12	12	17	8	8	22	17	8	15	13	16	1	0	0	
7	11	16	13	16	11	14	14	19	13	7	13	24	10	9	22	9	23	6	7	5	7	6	9	8	7	15	7	17	7	8	15	13	10	7	12	8	11	9	14	14	3	15	25	7	7	10	11	10	10	12	10	7	7	5	11	6	10	11	13	11	18	17	5	8	11	4	14	0	3	1	
7	4	9	10	26	24	16	36	20	34	16	21	13	12	27	12	19	21	18	6	11	12	11	19	8	12	17	11	14	18	11	16	18	18	15	8	8	8	7	12	13	10	17	21	7	7	9	6	7	14	22	13	16	11	10	11	12	7	16	15	18	25	15	16	17	5	7	7	1	0	0	
