"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	
1075	1160	1271	1149	656	622	677	1191	950	486	
1000	1100	1100	1100	700	700	700	1100	1000	500	
0	0	0	0	0	0	0	0	0	0	
615	693	725	778	433	378	451	685	582	310	
42	52	69	69	72	58	70	152	72	56	
343	355	306	253	195	264	179	263	346	134	
42	52	69	69	72	58	70	152	72	56	
615	693	725	778	433	378	451	685	581	310	
3	6	4	9	5	4	3	12	7	2	
654	739	790	838	500	432	518	825	646	364	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

3	0	2	7	4	4	5	9	2	3	
151	94	157	181	83	78	80	182	162	80	
37	67	72	73	40	44	49	44	38	25	
456	561	548	567	365	300	377	573	432	247	
7	6	3	3	1	1	1	6	3	2	
0	8	6	2	0	2	3	5	4	2	
0	3	1	5	6	2	2	5	3	2	
0	0	1	0	1	1	1	1	2	3	
