"УИК №2383"	"УИК №2384"	"УИК №2385"	"УИК №2386"	"УИК №2387"	"УИК №2388"	"УИК №2389"	"УИК №2390"	"УИК №2391"	"УИК №2392"	"УИК №2393"	"УИК №2394"	"УИК №2395"	"УИК №2396"	"УИК №2397"	"УИК №2398"	"УИК №2399"	"УИК №2400"	"УИК №2401"	"УИК №2402"	"УИК №2403"	"УИК №2404"	"УИК №2405"	"УИК №2406"	"УИК №2407"	"УИК №2408"	"УИК №2409"	"УИК №2410"	"УИК №2411"	"УИК №2412"	
183	3398	157	739	269	242	201	224	733	1463	386	959	1057	952	233	380	552	1884	1599	1665	1516	1595	257	270	564	422	1217	1131	2617	260	
182	3370	180	735	265	253	200	228	745	1459	401	973	1066	971	233	383	565	1933	1645	1627	1519	1610	261	270	571	452	1231	1144	2625	255	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
160	3214	120	693	235	205	179	183	675	1307	344	815	996	884	193	331	525	1693	1551	1476	1410	1487	239	243	529	401	1136	1053	2161	227	
15	94	32	37	28	32	16	35	49	123	28	133	48	53	34	40	10	154	17	151	76	73	13	20	26	13	66	66	39	26	
7	62	28	5	2	16	5	10	21	29	29	25	22	34	6	12	30	86	77	0	33	50	9	7	16	38	29	25	425	2	
15	94	32	37	28	32	16	35	49	123	28	133	48	53	34	40	10	154	17	151	76	73	13	20	26	13	66	66	39	26	
160	3214	120	693	235	205	179	183	675	1307	344	815	995	884	193	331	525	1693	1551	1476	1410	1487	239	243	529	401	1136	1053	2161	227	
0	16	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	6	0	1	4	0	3	0	0	0	0	5	0	
175	3292	152	730	263	237	195	218	724	1430	372	948	1038	931	227	371	535	1847	1562	1627	1485	1556	252	260	555	414	1202	1119	2195	253	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	1	1	1	1	2	1	5	0	13	7	4	0	3	2	8	13	6	3	4	1	0	2	1	3	1	3	0	
1	198	3	32	9	13	10	4	35	64	17	31	21	50	6	15	15	45	34	63	35	46	12	27	13	10	53	96	89	6	
9	30	3	27	8	1	1	1	2	47	9	21	21	12	6	1	18	40	22	35	34	10	2	6	13	5	18	5	34	1	
165	3048	145	659	244	222	181	211	680	1290	346	864	950	843	214	346	497	1718	1434	1497	1397	1479	237	221	518	385	1110	1012	2012	244	
0	7	1	2	0	0	1	0	2	10	0	3	13	11	1	3	1	12	20	3	3	2	0	0	6	6	13	1	25	0	
0	1	0	4	0	0	0	0	2	5	0	3	8	5	0	3	0	10	11	10	4	7	0	1	3	3	4	1	9	0	
0	2	0	1	1	0	0	0	1	5	0	4	5	3	0	0	2	8	10	7	4	4	0	5	0	2	1	1	11	0	
0	5	0	4	0	0	1	0	1	4	0	9	13	3	0	0	0	6	18	6	5	4	0	0	0	2	0	2	12	2	
