"УИК №3601"	"УИК №3602"	"УИК №3603"	"УИК №3604"	"УИК №3605"	"УИК №3606"	"УИК №3607"	"УИК №3608"	"УИК №3609"	"УИК №3610"	"УИК №3611"	"УИК №3612"	"УИК №3613"	"УИК №3614"	"УИК №3615"	"УИК №3616"	"УИК №3617"	"УИК №3618"	"УИК №3619"	"УИК №3620"	"УИК №3621"	"УИК №3622"	"УИК №3623"	"УИК №3624"	"УИК №3625"	"УИК №3626"	"УИК №3627"	"УИК №3628"	"УИК №3629"	"УИК №3630"	"УИК №3631"	"УИК №3632"	"УИК №3633"	"УИК №3634"	"УИК №3635"	"УИК №3636"	"УИК №3637"	"УИК №3638"	
1495	2251	2217	1951	2001	2007	1935	2335	2181	2036	2247	2443	2000	2030	2048	1625	2239	1726	2235	2104	2093	2523	1931	1978	2367	2004	2840	2670	2705	2655	2622	2161	2457	2036	2319	2015	2458	1902	
1500	2100	2100	1800	2000	2000	1800	2100	2000	2000	2200	2400	2000	2000	2000	1500	2100	1600	2100	2000	2000	2300	1800	1900	2200	1900	2600	2500	2500	2500	2500	2000	2300	2000	2200	2000	2300	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
919	1418	1358	1230	1260	1310	1178	1409	1221	1246	1377	1457	1278	1295	1270	1023	1271	1003	1329	1230	1269	1416	1231	1187	1294	1128	1778	1580	1580	1500	1169	1353	1499	1272	1332	1166	1434	1133	
20	14	15	15	21	9	24	16	19	27	20	28	16	13	19	17	33	18	94	22	18	19	9	18	30	26	33	20	24	34	25	24	14	19	24	28	30	17	
561	668	727	555	719	681	598	675	760	727	803	915	706	692	711	460	796	579	677	748	713	865	560	695	876	746	789	900	896	966	1306	623	787	709	844	806	836	650	
20	14	15	15	21	9	24	16	19	27	20	28	16	13	19	17	33	18	94	22	18	19	9	18	30	26	33	20	24	34	25	23	14	19	24	28	30	17	
919	1418	1358	1229	1260	1310	1174	1407	1221	1246	1374	1455	1278	1295	1270	1023	1269	1003	1329	1228	1268	1415	1231	1186	1293	1128	1766	1580	1580	1500	1169	1353	1499	1272	1332	1165	1433	1133	
11	9	10	14	6	8	15	13	10	7	18	14	12	10	10	14	10	12	17	9	17	7	16	13	18	6	15	16	13	16	11	11	12	22	14	20	12	11	
928	1423	1363	1230	1275	1311	1183	1410	1230	1266	1376	1469	1282	1298	1279	1026	1292	1009	1406	1241	1269	1427	1224	1191	1305	1148	1784	1584	1591	1518	1183	1365	1501	1269	1342	1173	1451	1139	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	6	9	14	8	14	4	15	9	14	7	25	13	7	13	7	15	5	8	4	7	10	10	13	9	9	23	5	17	6	10	6	11	14	8	11	5	4	
159	252	211	211	211	215	158	222	176	182	231	216	232	248	213	154	205	147	257	180	177	238	189	199	201	179	301	262	275	265	170	211	260	179	214	209	204	196	
61	92	71	72	82	76	68	76	82	89	81	119	73	78	97	79	85	69	82	67	97	87	73	66	84	68	141	106	68	97	79	97	113	86	90	63	87	86	
645	1016	1019	885	930	959	901	1049	919	935	1001	1050	909	915	898	739	950	740	1005	938	931	1045	901	865	953	850	1239	1146	1176	1090	872	993	1044	929	973	853	1092	802	
20	23	29	19	15	20	14	16	23	18	21	21	27	16	23	21	13	19	16	22	24	16	23	16	22	18	27	29	24	22	21	19	28	24	17	10	25	20	
13	6	7	7	6	7	8	11	8	7	11	8	9	9	11	6	8	8	14	13	8	7	9	9	12	8	19	15	11	16	9	13	14	8	18	11	16	9	
18	13	6	15	13	15	20	9	9	11	16	14	12	12	12	7	6	12	9	9	16	15	15	13	15	4	17	11	12	11	12	12	13	12	11	11	17	12	
6	15	11	7	10	5	10	12	4	10	8	16	7	13	12	13	10	9	15	8	9	9	4	10	9	12	17	10	8	11	10	14	18	17	11	5	5	10	
