"УИК №3001"	"УИК №3002"	"УИК №3003"	"УИК №3004"	"УИК №3005"	"УИК №3006"	"УИК №3007"	"УИК №3008"	"УИК №3009"	"УИК №3010"	"УИК №3011"	"УИК №3012"	"УИК №3013"	"УИК №3014"	"УИК №3015"	"УИК №3016"	"УИК №3017"	"УИК №3018"	"УИК №3019"	"УИК №3020"	"УИК №3021"	"УИК №3022"	"УИК №3023"	"УИК №3024"	"УИК №3025"	"УИК №3026"	"УИК №3027"	"УИК №3028"	"УИК №3029"	"УИК №3030"	"УИК №3031"	"УИК №3032"	"УИК №3033"	"УИК №3034"	"УИК №3035"	"УИК №3036"	"УИК №3037"	"УИК №3038"	"УИК №3039"	"УИК №3040"	"УИК №3041"	"УИК №3042"	"УИК №3043"	"УИК №3044"	"УИК №3045"	"УИК №3046"	"УИК №3047"	"УИК №3048"	"УИК №3049"	
3073	2349	1860	1789	1280	1920	2137	2117	2122	2008	1881	2025	1896	1598	1951	1245	1754	1821	2610	2853	2527	2647	833	2575	3203	2541	1521	2942	2225	1874	1647	3025	2831	1564	2741	2143	1980	1352	2694	3005	2417	2183	2756	2074	1914	2341	644	601	680	
2700	2000	1600	1500	1000	1800	2000	1800	2000	1800	1500	1800	1700	1500	1900	1000	1500	1600	2500	2200	2400	2300	800	2100	3000	2300	1400	2500	2000	1500	1500	2600	2600	1200	2500	2000	1700	1100	2200	2700	2000	2000	2700	1700	1500	2100	500	603	680	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1650	1500	1077	1078	804	1216	1317	1427	1422	1192	1143	1232	1019	715	1329	680	1027	1110	1781	1584	1850	1640	574	1649	1818	1047	905	1495	1312	1143	943	1598	1520	835	1553	1240	1188	787	1568	1636	1350	1326	1654	1105	1050	1477	332	383	434	
264	82	60	68	27	64	64	85	71	64	45	105	84	19	57	177	64	60	45	69	31	64	32	69	46	217	19	68	75	30	36	49	89	31	62	66	66	78	69	42	49	68	77	12	69	13	8	193	216	
786	418	463	354	169	520	619	288	507	544	312	463	597	766	514	143	409	430	674	547	519	596	194	382	1136	1036	476	937	613	327	521	953	991	334	885	694	446	235	563	1022	601	606	969	583	381	610	160	27	30	
264	82	60	68	27	64	64	85	71	64	45	105	84	19	57	177	64	60	44	69	31	64	32	69	46	217	19	68	75	30	36	49	89	31	62	66	66	78	69	42	49	68	77	12	69	13	8	193	216	
1650	1500	1077	1078	804	1215	1317	1427	1421	1186	1136	1232	1019	713	1328	680	1027	1110	1781	1584	1846	1557	574	1649	1818	1047	903	1494	1312	1143	943	1596	1518	833	1553	1238	1188	787	1568	1635	1350	1323	1654	1105	1049	1477	332	383	434	
25	26	9	14	11	23	17	10	20	9	12	16	7	10	19	9	11	11	23	23	55	23	6	17	12	12	14	23	19	14	13	25	20	12	20	7	12	11	12	22	11	17	22	8	14	16	5	7	6	
1889	1556	1128	1132	820	1256	1364	1502	1472	1241	1169	1321	1096	722	1366	848	1080	1159	1802	1630	1822	1598	600	1701	1852	1252	908	1539	1368	1159	966	1620	1587	852	1595	1297	1242	854	1625	1655	1388	1374	1709	1109	1104	1474	335	569	644	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

20	13	9	18	4	9	14	13	11	11	6	8	3	2	6	7	12	11	14	11	16	13	5	19	13	4	7	11	14	5	9	4	13	8	12	11	13	9	10	12	13	14	16	7	12	4	2	6	2	
260	178	166	132	137	253	159	224	221	168	143	168	160	89	155	84	129	112	246	189	327	193	84	200	235	138	148	161	141	136	128	196	217	102	159	156	149	102	202	204	185	131	216	160	136	201	38	62	52	
69	81	40	52	26	42	69	54	49	52	49	48	39	26	54	41	61	74	105	98	70	68	32	77	76	51	44	94	56	65	52	62	71	39	99	58	68	47	62	80	72	69	84	45	25	53	9	43	53	
1306	1131	771	794	572	822	987	1046	1039	900	849	945	785	542	1052	646	777	874	1290	1206	1253	1213	436	1249	1310	994	623	1166	1063	865	703	1202	1154	635	1226	976	937	636	1203	1228	1034	1066	1244	796	806	1049	273	416	506	
113	68	70	59	31	58	68	70	72	54	64	51	49	39	55	30	42	47	67	57	93	45	20	79	108	29	49	46	45	40	34	86	72	35	42	51	39	31	70	61	45	41	76	56	71	90	10	21	15	
13	16	9	8	13	10	7	4	10	8	5	9	6	3	7	7	10	7	13	11	5	15	6	11	10	7	4	10	9	9	7	8	11	8	10	5	4	4	15	8	7	11	15	4	6	8	0	6	4	
35	17	17	29	14	15	23	29	20	18	21	24	18	8	14	13	13	12	23	27	21	12	5	29	36	12	12	22	14	12	17	24	22	4	16	12	8	9	29	21	11	15	30	13	29	24	2	8	4	
73	52	46	40	23	47	37	62	50	30	32	68	36	13	23	20	36	22	44	31	37	39	12	37	64	17	21	29	26	27	16	38	27	21	31	28	24	16	34	41	21	27	28	28	19	45	1	7	8	
