"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	
161	2585	2597	1778	1412	986	917	
140	2580	2570	1740	1390	970	920	
0	0	0	0	0	0	0	
96	1481	1533	1015	753	642	507	
10	46	84	23	31	28	11	
34	1053	953	702	606	300	402	
10	46	84	23	31	28	11	
96	1481	1533	1015	753	642	507	
4	24	20	10	5	5	5	
102	1503	1597	1028	779	665	513	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

0	21	11	8	5	3	3	
4	211	224	176	127	129	104	
8	138	139	95	70	63	44	
90	1069	1163	722	546	450	336	
0	22	18	8	12	3	14	
0	20	14	6	4	8	5	
0	12	15	7	7	9	3	
0	10	13	6	8	0	4	
